Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	2121	0.18	3.06	0.0214	0.00	-0.731	0.873
1q	1955	0.18	2.85	0.0255	0.00	-0.767	0.873
2p	924	0.00	-1.07	0.86	0.00	-1.07	0.873
2q	1556	0.00	-0.936	0.86	0.00	-0.936	0.873
3p	1062	0.09	0.435	0.809	0.38	5.32	2.06e-06
3q	1139	0.40	5.66	2.97e-07	0.18	1.75	0.26
4p	489	0.00	-1.04	0.86	0.18	1.66	0.26
4q	1049	0.00	-0.946	0.86	0.18	2.02	0.212
5p	270	0.13	0.817	0.62	0.13	0.817	0.672
5q	1427	0.13	1.42	0.431	0.13	1.42	0.335
6p	1173	0.06	0.0255	0.86	0.00	-0.987	0.873
6q	839	0.07	0.0316	0.86	0.12	0.981	0.636
7p	641	0.12	0.884	0.62	0.07	-0.0352	0.873
7q	1277	0.00	-0.966	0.86	0.06	0.0669	0.873
8p	580	0.12	0.764	0.62	0.00	-1.07	0.873
8q	859	0.12	0.898	0.62	0.00	-1.01	0.873
9p	422	0.06	-0.235	0.86	0.00	-1.13	0.873
9q	1113	0.06	0.00227	0.86	0.00	-0.999	0.873
10p	409	0.00	-1.06	0.86	0.18	1.61	0.26
10q	1268	0.00	-0.905	0.86	0.18	2.19	0.188
11p	862	0.00	-1.01	0.86	0.12	0.9	0.653
11q	1515	0.00	-0.827	0.86	0.24	3.51	0.00439
12p	575	0.06	-0.187	0.86	0.00	-1.1	0.873
12q	1447	0.00	-0.96	0.86	0.00	-0.96	0.873
13q	654	0.06	-0.0979	0.86	0.06	-0.0979	0.873
14q	1341	0.00	-0.982	0.86	0.00	-0.982	0.873
15q	1355	0.12	1.18	0.583	0.00	-0.92	0.873
16p	872	0.12	0.905	0.62	0.00	-1.01	0.873
16q	702	0.12	0.821	0.62	0.00	-1.04	0.873
17p	683	0.00	-1.08	0.86	0.06	-0.151	0.873
17q	1592	0.00	-0.928	0.86	0.00	-0.928	0.873
18p	143	0.12	0.576	0.734	0.00	-1.14	0.873
18q	446	0.18	1.63	0.332	0.00	-1.05	0.873
19p	995	0.00	-1.02	0.86	0.06	-0.0419	0.873
19q	1709	0.00	-0.875	0.86	0.06	0.259	0.873
20p	355	0.25	2.65	0.0313	0.08	0.0236	0.873
20q	753	0.24	2.79	0.0255	0.00	-0.963	0.873
21q	509	0.00	-1.04	0.86	0.18	1.67	0.26
22q	921	0.00	-1.04	0.86	0.06	-0.0688	0.873
