Chromosome Arm	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.449	0.346	0.395	0.000	0.000	0.000
1q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.655	0.000	0.449	0.346	0.000	0.000	0.000	0.000
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3p	0.302	-0.324	-0.493	0.000	0.000	0.000	0.000	0.000	0.000	-0.654	0.000	-0.382	0.008	-0.398	0.000	0.000	0.000
3q	0.302	0.000	-0.493	0.000	0.000	0.000	0.000	0.000	0.000	0.332	0.000	0.870	0.358	0.400	0.000	0.359	0.752
4p	-0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.486	-0.483
4q	-0.361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.486	-0.483
5p	-0.367	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.302	0.000	0.000	0.000	0.476	0.456
5q	-0.367	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.302	0.000	0.000	0.000	0.476	0.456
6p	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6q	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	-0.613	0.000	-0.611	0.000	0.000	0.000	0.000	0.000
7p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.689	0.333	0.474	0.000	0.000	0.000
7q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.689	0.000	0.000	0.000	0.000	0.000
8p	0.000	0.000	0.000	0.000	0.000	1.158	0.000	0.000	0.000	0.000	0.000	0.000	0.335	0.000	0.000	0.000	0.000
8q	0.000	0.000	0.000	0.000	0.000	1.158	0.000	0.000	0.000	0.000	0.000	0.000	0.335	0.000	0.000	0.000	0.000
9p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10p	0.000	0.000	-0.457	0.000	0.000	0.000	0.000	0.000	0.000	-0.348	0.000	-0.551	0.000	0.000	0.000	0.000	0.000
10q	0.000	0.000	-0.457	0.000	0.000	0.000	0.000	0.000	0.000	-0.348	0.000	-0.551	0.000	0.000	0.000	0.000	0.000
11p	-0.410	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.786	0.000	0.000	0.000	0.000	0.000
11q	-0.410	0.000	0.000	0.000	0.000	-0.594	0.000	0.000	0.000	-0.638	0.000	-0.786	0.000	0.000	0.000	0.000	0.000
12p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.431
12q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13q	0.000	0.000	0.000	0.000	0.000	1.145	0.000	0.000	0.000	0.000	0.000	-0.589	0.000	0.000	0.000	0.000	0.000
14q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15q	0.761	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	0.000	0.473
16q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	0.000	0.473
17p	-0.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18p	0.000	0.000	0.493	0.000	0.000	1.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18q	0.000	0.000	0.493	0.000	0.000	1.161	0.000	0.000	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000
19p	0.000	0.000	-0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19q	0.000	0.000	-0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20p	-0.330	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.487	0.493
20q	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.487	0.493
21q	0.000	0.000	-0.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.326	-0.389	0.000	0.000	0.000
22q	0.000	0.000	-0.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
