Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	2121	0.29	4.42	6.33e-05	0.09	0.0239	0.984
1q	1955	0.28	4.18	0.000145	0.03	-1.21	0.984
2p	924	0.02	-1.68	0.983	0.02	-1.68	0.984
2q	1556	0.02	-1.59	0.983	0.05	-1.1	0.984
3p	1062	0.10	0.0112	0.983	0.34	5.18	2.15e-06
3q	1139	0.44	7.3	5.78e-12	0.12	0.282	0.984
4p	489	0.00	-1.92	0.983	0.27	3.7	0.0014
4q	1049	0.03	-1.36	0.983	0.23	2.92	0.0138
5p	270	0.23	2.74	0.0148	0.03	-1.43	0.984
5q	1427	0.00	-2.1	0.983	0.07	-0.646	0.984
6p	1173	0.12	0.443	0.754	0.05	-0.992	0.984
6q	839	0.07	-0.543	0.983	0.10	-0.0696	0.984
7p	641	0.21	2.4	0.0319	0.06	-0.879	0.984
7q	1277	0.14	0.978	0.492	0.05	-0.941	0.984
8p	580	0.25	2.57	0.0218	0.43	6.62	7.18e-10
8q	859	0.43	7.06	1.61e-11	0.08	-0.403	0.984
9p	422	0.12	0.446	0.754	0.10	-0.0199	0.984
9q	1113	0.26	3.44	0.00183	0.03	-1.32	0.984
10p	409	0.02	-1.7	0.983	0.05	-1.23	0.984
10q	1268	0.03	-1.55	0.983	0.09	-0.111	0.984
11p	862	0.00	-2.09	0.983	0.11	0.286	0.984
11q	1515	0.00	-1.88	0.983	0.25	3.45	0.00273
12p	575	0.09	-0.206	0.983	0.03	-1.62	0.984
12q	1447	0.02	-1.66	0.983	0.00	-2.15	0.984
13q	654	0.03	-1.51	0.983	0.16	1.32	0.524
14q	1341	0.25	3.41	0.00183	0.00	-1.89	0.984
15q	1355	0.10	-0.0492	0.983	0.05	-1.01	0.984
16p	872	0.12	0.397	0.754	0.05	-1.02	0.984
16q	702	0.15	1.08	0.457	0.13	0.609	0.984
17p	683	0.00	-2.13	0.983	0.09	-0.24	0.984
17q	1592	0.05	-1.14	0.983	0.00	-2.11	0.984
18p	143	0.14	0.73	0.648	0.03	-1.59	0.984
18q	446	0.12	0.391	0.754	0.08	-0.543	0.984
19p	995	0.00	-1.97	0.983	0.20	2.32	0.0666
19q	1709	0.03	-1.51	0.983	0.09	-0.0486	0.984
20p	355	0.21	2.34	0.034	0.06	-0.908	0.984
20q	753	0.28	3.86	0.000442	0.03	-1.31	0.984
21q	509	0.08	-0.487	0.983	0.15	0.914	0.88
22q	921	0.00	-2.09	0.983	0.11	0.294	0.984
