Chromosome Arm	AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	AC-V01-Tumor-SM-9J45S	AC-V02-Tumor-SM-9J45T	AC-V03-Tumor-SM-9J45U	AC-V04-Tumor-SM-9J45V	AC-V05-Tumor-SM-9J45W	AC-V06-Tumor-SM-9J45X	AC-V07-Tumor-SM-9J45Y	AC-V08-Tumor-SM-9J45Z	AC-V08-Tumor-SM-9J461	AC-V08-Tumor-SM-9J462	AC-V09-Tumor-SM-9J463	AC-V09-Tumor-SM-9J464	AC-V10-Tumor-SM-9J465	AC-V10-Tumor-SM-9J466	AC-V11-Tumor-SM-9J467	AC-V11-Tumor-SM-9J468	AC-V12-Tumor-SM-9J46A	AC-V12-Tumor-SM-9N4BH	AC-V13-Tumor-SM-9J46B	AC-V14-Tumor-SM-9J46C	AC-V14-Tumor-SM-9J46D	AC-V15-Tumor-SM-9J46E	AC-V15-Tumor-SM-9J46F	AC-V16-Tumor-SM-9J46G	AC-V16-Tumor-SM-9J46H	AC-V17-Tumor-SM-9J46I	AC-V18-Tumor-SM-9J46J	AC-V18-Tumor-SM-9J46K	AC-V19-Tumor-SM-9J46L	AC-V20-Tumor-SM-9J46M	AC-V21-Tumor-SM-9J46N	AC-V22-Tumor-SM-9J46O	AC-V23-Tumor-SM-9J46P	AC-V24-Tumor-SM-9J46Q	AC-V25-Tumor-SM-9J46R	AC-V26-Tumor-SM-9J46S	AC-V27-Tumor-SM-9J46T	AC-V28-Tumor-SM-9J46U	AC-V29-Tumor-SM-9J46V	AC-V30-Tumor-SM-9J46W	AC-V31-Tumor-SM-9J46X	AC-V32-Tumor-SM-9J46Y	AC-V33-Tumor-SM-9J46Z	AC-V34-Tumor-SM-9J471
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.323	0.832	0.857	0.638	0.539	0.000	0.000	0.557	-0.607	0.000	0.000	0.000	0.563	0.557	0.521	0.491	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.628	0.000	0.000	0.394	-0.301	0.735	0.000	0.000	0.000	0.000
1q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.323	0.000	0.000	0.000	0.539	0.984	0.000	0.557	0.000	0.000	0.000	0.000	0.563	0.557	0.521	0.491	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.628	0.000	0.000	0.394	0.358	1.011	0.913	0.000	0.000	0.000
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.812	0.000	0.552	0.000	0.000
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.812	0.000	0.000	-0.312	0.000
3p	0.000	0.000	-0.327	1.864	0.000	0.000	0.000	0.000	-0.792	-0.848	-0.091	0.000	0.000	0.000	0.000	-0.561	0.000	-0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.437	0.805	0.024	-0.402	-0.466	0.000	-0.576	0.000	-0.676	-0.674	0.000	0.000	-0.581	0.000	0.000	0.000	0.417	0.000
3q	0.000	0.747	1.249	1.864	0.000	0.000	0.000	0.398	1.637	2.074	0.496	0.474	1.002	0.000	0.579	-0.561	0.000	0.000	0.000	0.748	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.805	0.433	0.497	0.000	0.000	0.000	1.421	0.825	0.756	0.000	0.000	0.000	0.000	0.971	0.481	0.417	0.000
4p	0.000	-0.770	-0.567	0.000	-0.635	0.000	0.000	0.000	-0.784	-0.758	-0.582	-0.368	-0.487	0.000	0.000	0.000	0.000	0.000	0.000	-0.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.384	0.000	0.000	0.000	-0.355	0.000
4q	0.000	-0.770	-0.567	0.000	-0.635	0.000	0.000	0.000	0.000	0.000	0.000	-0.368	-0.487	0.000	0.000	-0.587	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.303	0.000	0.000	0.000	0.000	0.000	-0.823	-0.893	0.000	-0.322	0.000
5p	0.000	0.000	0.000	0.610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.289	2.581	0.000	0.000	0.567	0.000	0.000	0.332	0.417	0.738	0.748	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.976	0.000	0.000	0.000
5q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.433	-0.754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.565	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.430	0.000	0.000	0.488	0.000	0.000	0.000	0.416	0.000	0.367	0.000	0.000	0.000	0.000	0.538	0.000	0.714	0.000	0.000	0.000	0.000	-0.773	0.000	0.000	0.000	0.000
6q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.430	0.000	0.000	0.488	0.000	0.000	0.000	0.000	0.000	0.367	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.808	0.000	0.000	-0.773	0.000	0.000	-0.333	0.000
7p	0.000	0.479	-0.651	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.000	0.613	0.000	0.374	0.430	-0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.516	0.472
