sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	69549	16918428	1426	16848879	0.00618	0.00606030301515076	1.11738	3	3	0	0	3	2.87340391007639	0	1.11738	1.00766	1.2271	1	2	1	2	0	0	0.02	0	0.29181	0.85	0.59363	0.98675	0	0	0	0	0	1	2
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	17250896	17280784	12	29888	0.08858	1.00005000250013e-05	1.47	5	5.49153	0	0	5.49153	5.55828304190938	0	1.47	0.60685	2.33315	0	4	0.81832	4.04455	0	0	1	0.02078	0.97797	0.07	0.01414	0.9721	1	0	0	0	0	0.81832	4.04455
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	17292553	22310752	495	5018199	0.01058	0.00180009000450022	1.12668	3	3	0	0	3	2.94421491321304	0	1.12668	1.04593	1.20742	1	2	1.00174	1.99385	0	0	0.16	0.00423	0.63915	0.78	0.30386	0.9813	0	0	0	0	0	1.00174	1.99385
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	22328188	22333936	6	5748	0.12266	0	1.43924	5	5.22186	0	0	5.22186	5.32407374551331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	22405023	44447478	2196	22042455	0.005	0.00793039651982599	1.12077	3	3	0	0	3	2.89921566283265	0	1.12077	1.1067	1.13484	1	2	1.00014	1.53811	1	1	0.4	0.17756	0.6048	0.5	0.28441	0.71181	0	0	0	0	0	1.00014	1.53811
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	44450631	44595446	25	144815	0.04781	5.00025001250063e-05	1.14406	3	3.04065	0	0	3.04065	3.07654773412864	0	1.14406	0	2.28813	0	6	0	5.98685	1	0	NA	NA	NA	0.89	0.31101	0.98791	1	0	0	0	0	0	5.98685
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	44596305	78340639	1689	33744334	0.00571	0.0121406070303515	1.12389	3	3	0	0	3	2.92297161227204	0	1.12389	1.01691	1.23087	1	2	1	2	0	0	0.05	0	0.31638	0.87	0.60881	0.98844	0	0	0	0	0	1	2
AC-P06-TP-NT-SM-63B4T-SM-63B4U	1	78383683	249211681	8602	170827998	0.00224	0.0614430721536077	0.99473	2	2	0	0	2	1.93953621817202	0	0.99473	0.99473	0.99473	1	1	1	1	0	0	0.03	0	0.10445	0.03	0	0.10445	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	2	45912	242814645	10404	242768733	0.00205	0.0873243662183109	0.99779	2	2	0	0	2	1.96283532242989	0	0.99779	0.99779	0.99779	1	1	1	1	0	0	0.02	0	0.09467	0.02	0	0.09467	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	3	369943	15610015	776	15240072	0.00659	0.00548027401370068	0.87769	1	1	0	0	1	1.04838355074041	0	0.87769	0.73066	1.02472	0	1	0	1	0	0	1	0.84449	1	0.08	0	0.23676	1	0	0	0	0	0	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	3	15613225	15736282	18	123057	0.04389	4.0002000100005e-05	0.89022	1	1.08004	0	0	1.08004	1.14378805281593	0	0.89022	0.02547	1.75497	0	4	0	3.99993	1	0	NA	NA	NA	0.86	0.46612	0.98821	1	0	0	0	0	0	3.99993
AC-P06-TP-NT-SM-63B4T-SM-63B4U	3	15755090	93733670	3475	77978580	0.00308	0.0280514025701285	0.86803	1	1	0	0	1	0.9748314765146	0	0.86803	0.72458	1.01148	0	1	0	1	0	0	1	0.90771	1	0.03	0	0.14338	1	0	0	0	0	0	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	3	93755496	122345776	1013	28590280	0.00661	0.0102805140257013	1.00683	2	2	0	0	2	2.03166666311326	0	1.00683	1.00683	1.00683	1	1	1	1	0	0	0.02	0	0.10946	0.02	0	0.10946	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	3	122353953	197765487	3306	75411534	0.00414	0.0271213560678034	1.14021	3	3	0	0	3	3.04723350164733	0	1.14021	1.00606	1.27436	1	2	1	2	0	0	0.01	0	0.137	0.03	0	0.15397	0	0	0	0	0	1	2
AC-P06-TP-NT-SM-63B4T-SM-63B4U	4	59385	190947882	5377	190888497	0.00285	0.0686634331716586	1	2	2	0	0	2	1.97966245328279	0	1	1	1	1	1	1	1	0	0	0.01	0	0.09001	0.01	0	0.09001	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	4	190996225	191012705	5	16480	0.12699	1.00005000250013e-05	1.35995	5	4.69089	0	0	4.69089	4.72035283812564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P06-TP-NT-SM-63B4T-SM-63B4U	5	143556	180794756	6316	180651200	0.00264	0.0649732486624331	1.00398	2	2	0	0	2	2.00996651699074	0	1.00398	1.00398	1.00398	1	1	1	1	0	0	0	0	0.08499	0	0	0.08499	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	6	345890	170892713	7283	170546823	0.00245	0.0613430671533577	1.00079	2	2	0	0	2	1.98567758150623	0	1.00079	1.00079	1.00079	1	1	1	1	0	0	0.01	0	0.08604	0.01	0	0.08604	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	7	540563	158935187	6241	158394624	0.00265	0.0569728486424321	1.00181	2	2	0	0	2	1.99344394959219	0	1.00181	1.00181	1.00181	1	1	1	1	0	0	0	0	0.08405	0	0	0.08405	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	8	190901	146279473	4560	146088572	0.00311	0.0525426271313566	1.00402	2	2	0	0	2	2.01027108044509	0	1.00402	1.00402	1.00402	1	1	1	1	0	0	0.01	0	0.08692	0.01	0	0.08692	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	9	286572	141016185	5654	140729613	0.00278	0.0506225311265563	1.00025	2	2	0	0	2	1.98156597487249	0	1.00025	1.00025	1.00025	1	1	1	1	0	0	0.01	0	0.08891	0.01	0	0.08891	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	10	94609	135490828	5798	135396219	0.00273	0.0487024351217561	0.99539	2	2	0	0	2	1.94456151516882	0	0.99539	0.99539	0.99539	1	1	1	1	0	0	0.03	0	0.10281	0.03	0	0.10281	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	11	194433	290925	37	96492	0.03441	3.00015000750038e-05	1.00103	2	2.00064	0	0	2.00064	1.98750496223234	0	1.00103	1.00103	1.00103	1	1	1	1	0	0	0.01	0	0.35708	0.01	0	0.35708	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	11	292611	134257497	7663	133964886	0.00239	0.048182409120456	0.99882	2	2	0	0	2	1.97067783137943	0	0.99882	0.99882	0.99882	1	1	1	1	0	0	0.01	0	0.09102	0.01	0	0.09102	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	12	266776	7883450	814	7616674	0.00729	0.00274013700685034	0.99437	2	2	0	0	2	1.93679514708286	0	0.99437	0.99437	0.99437	1	1	1	1	0	0	0.03	0	0.12087	0.03	0	0.12087	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	12	8075518	8088622	9	13104	0.09929	0	1.42684	5	5.17152	0	0	5.17152	5.22965907466444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P06-TP-NT-SM-63B4T-SM-63B4U	12	8196330	133779095	7287	125582765	0.00246	0.0451722586129307	1.00249	2	2	0	0	2	1.99862152831616	0	1.00249	1.00249	1.00249	1	1	1	1	0	0	0	0	0.08087	0	0	0.08087	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	13	19751406	115090536	2547	95339130	0.00414	0.0342917145857293	0.99846	2	2	0	0	2	1.96793676029027	0	0.99846	0.99842	0.9985	1	1	1	1	0	0	0.02	0	0.09565	0.02	0	0.09543	0	0	0	0	0	1	1
AC-P06-TP-NT-SM-63B4T-SM-63B4U	14	19558773	19583029	8	24256	0.06566	1.00005000250013e-05	0.88775	1	1.29611	0	0	1.29611	1.12498125950974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
