sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	69549	15812468	1231	15742919	0.01044	0.00566011320226405	1.1512	4	3.57351	0	0	3.57351	3.50293287813093	0	1.1512	0.98645	1.31595	1	3	0.99798	2.66496	0	0	0.07	0.00063	0.64544	0.57	0.09417	0.95078	0	0	0	0	0	0.99798	2.66496
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	15817798	19208287	339	3390489	0.01943	0.00122002440048801	1.12449	3	3.00452	0	0	3.00452	3.23652246476283	0	1.12449	1.12127	1.1277	2	2	1.99649	1.99942	1	0	0.6	0.33589	0.85577	0.63	0.36793	0.88482	0	0	0	0	0	1.99649	1.99942
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	19209654	19403314	3	193660	0.31036	7.00014000280006e-05	1.69172	6	5.43684	0	1	8.89417797860738	8.89417797860738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	19411094	47489577	2973	28078483	0.00648	0.0101002020040401	1.1104	3	3	0	0	3	3.09598623397449	0	1.1104	1.06428	1.15653	1	2	1.06033	1.98055	0	0	0.32	0.01903	0.82087	0.78	0.24161	0.98135	0	0	0	0	0	1.06033	1.98055
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	47497129	47505108	5	7979	0.26287	0	1.85009	7	6.0159	0	1	10.4737892539764	10.4737892539764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	47514268	86852653	1535	39338385	0.00898	0.0141502830056601	1.10659	3	3	0	0	3	3.05798459882164	0	1.10659	1.06101	1.15217	1	2	1.05308	1.96999	0	0	0.3	0.01657	0.81634	0.76	0.21636	0.97952	0	0	0	0	0	1.05308	1.96999
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	86891090	86900314	5	9224	0.24664	0	1.73569	7	5.90756	0	1	9.33274278114558	9.33274278114558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	86905919	109363207	844	22457288	0.01215	0.00808016160323207	1.10963	3	3	0	0	3	3.08830611348428	0	1.10963	1.04604	1.17322	1	2	1.0589	1.96907	0	0	0.23	0.00936	0.84259	0.86	0.19838	0.98528	0	0	0	0	0	1.0589	1.96907
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	109366248	109377614	4	11366	0.27722	0	1.74493	7	5.72859	0	1	9.42490422702807	9.42490422702807	0	1.74493	1.74493	1.74493	3	3	2.86121	2.86121	0	0	0.71	0.01622	0.97488	0.71	0.01622	0.97488	0	0	0	0	0	2.86121	2.86121
AC-P05-TP-NT-SM-63B4R-SM-63B4S	1	109385822	120054207	662	10668385	0.01405	0.00384007680153603	1.13653	3	3.00908	0	0	3.00908	3.3566116215188	0	1.13653	1.09477	1.1783	1	2	1.3735	1.9945	0	0	0.47	0.05095	0.91714	0.89	0.30903	0.98765	0	0	0	0	0	1.3735	1.9945
