Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	27941017	2517	27871468	265	0.4999999966517	2.02791405901294	0.00592714044050597	1.01395702271641	0.00511146566243649	1.01395703629654	0.00511146566243649	2
1	27943442	27949603	4	6161	0	NA	1.21569772622245	0.0893321023822441	NA	NA	NA	NA	2
1	27992938	32151713	272	4158775	8	0.5	2.07934647154894	0.0184860260507566	1.03967323577447	0.0265604163287906	1.03967323577447	0.0265604163287906	2
1	32154516	32158220	10	3704	1	0.5	2.62868861707244	0.121798659428916	1.31434430853622	0.283553802194867	1.31434430853622	0.283553802194867	2
1	32163639	39950337	802	7786698	50	0.499999999999993	2.05710105864836	0.0106508679546297	1.02855052932417	0.0111755582983255	1.02855052932419	0.0111755582983255	2
1	39976940	40307500	49	330560	1	0.319343322358039	1.82613017158695	0.0382676966290159	0.583162476052832	0.208478116524481	1.24296769553412	0.208478116524481	2
1	40310257	45797909	631	5487652	54	0.499999981347355	2.02937790411861	0.0118463476562391	1.01468891420604	0.0129895479554856	1.01468898991257	0.0129895479554856	2
1	45798302	45798805	4	503	0	NA	1.35167168595768	0.0992678392451005	NA	NA	NA	NA	2
1	45799175	79002231	1550	33203056	120	0.499999999583006	1.96212379286372	0.00730881218574376	0.981061895613665	0.0098439072114363	0.981061897250052	0.0098439072114363	2
1	79095502	79128475	12	32973	0	NA	3.14929523841966	0.133149543131358	NA	NA	NA	NA	2
1	79383351	89637523	334	10254172	32	0.499999999648047	2.04878395548689	0.0164378621080883	1.02439197702237	0.0103048286077011	1.02439197846452	0.0103048286077011	2
1	89652112	91989794	86	2337682	7	0.0419076366081445	2.10624892936656	0.0332999383888661	0.0882679147381874	0.0321460348779153	2.01798101462838	0.0321460348779153	1
1	92163666	92224238	12	60572	0	NA	1.39027311363875	0.0589408111354407	NA	NA	NA	NA	2
1	92327057	94982646	208	2655589	17	0.498997879947948	2.11195435030917	0.0214699987006432	1.05386074335112	0.0235647103017087	1.05809360695805	0.0235647103017087	2
1	94997956	95005868	4	7912	0	NA	3.43628751437874	0.251592551797916	NA	NA	NA	NA	2
1	95293130	100152502	81	4859372	1	0.325674031189617	2.2404532160289	0.0364915305701007	0.729657430555873	0.276283335648975	1.51079578547302	0.276283335648975	2
1	100174564	120311415	1003	20136851	75	0.499999998646295	1.96698637403842	0.00910821766679069	0.98349318435649	0.00770637010681259	0.983493189681929	0.00770637010681259	2
1	120502069	144911922	50	24409853	4	0.235605442494812	2.01177305776123	0.0417198734733492	0.473984681472975	0.0964513198867291	1.53778837628826	0.0964513198867291	1
1	144915541	145498656	45	583115	8	0.146815811638233	1.90130998564639	0.0415701116896211	0.279142368718552	0.05109977869476	1.62216761692784	0.05109977869476	1
1	145508245	186143709	3537	40635464	279	0.499999997842872	1.98831272411137	0.00490267978915312	0.994156357766642	0.00479492648252007	0.994156366344732	0.00479492648252007	2
1	186151359	186158826	3	7467	0	NA	3.30231319444438	0.279209973885139	NA	NA	NA	NA	2
1	186269283	205892706	992	19623423	84	0.499999999999997	1.97501398438348	0.00919582579179223	0.987506992191734	0.0069657443546839	0.987506992191745	0.0069657443546839	2
1	205895710	205904885	11	9175	0	NA	2.85261404028028	0.12599738032363	NA	NA	NA	NA	2
1	206141484	214501015	501	8359531	62	0.499999999999997	2.00939464875089	0.013164280214047	1.00469732437544	0.00801280497922181	1.00469732437545	0.00801280497922181	2
1	214505447	215342621	39	837174	3	0.5	2.45932832367837	0.0577118789424975	1.22966416183919	0.141688180353003	1.22966416183919	0.141688180353003	2
1	215368365	245250604	1393	29882239	121	0.499999996414144	1.99133850626565	0.00782408639450857	0.99566924599217	0.00971019663950391	0.995669260273476	0.00971019663950391	2
1	245582963	245809502	5	226539	1	0.5	2.72673831841267	0.178657509362603	1.36336915920633	0.260799819498631	1.36336915920633	0.260799819498631	2
1	245850407	249211681	150	3361274	57	0.487471271461915	1.87120926216517	0.0224097132741032	0.912160758198966	0.0408062904556316	0.9590485039662	0.0408062904556316	2
2	45912	3750052	90	3704140	9	0.5	2.04742077534163	0.0316452998824563	1.02371038767082	0.0437386808073708	1.02371038767082	0.0437386808073708	2
2	6990042	7018104	5	28062	0	NA	2.95224051945877	0.193395562395851	NA	NA	NA	NA	2
2	7027180	31600010	1295	24572830	102	0.499949644291685	1.95901612172375	0.00798347127543345	0.979409413217465	0.00613419739974874	0.979606708506283	0.00613419739974874	2
2	31605942	31754451	10	148509	2	0.5	2.91643730577958	0.135096700963742	1.45821865288979	0.127172195695882	1.45821865288979	0.127172195695882	2
2	32108492	74652282	1709	42543790	126	0.500000000000001	1.98005573315233	0.00702391037769389	0.990027866576166	0.00499150893720308	0.990027866576161	0.00499150893720308	2
2	74652762	74720196	44	67434	1	0.294872376034345	1.94849491977364	0.0430794096513867	0.574557326684503	0.238719284711322	1.37393759308913	0.238719284711322	1
2	74729889	75187252	90	457363	5	0.5	2.15285492939517	0.033269480767627	1.07642746469759	0.0464504542340231	1.07642746469759	0.0464504542340231	2
2	75276704	79312673	34	4035969	2	0.348117636063959	2.02773918967272	0.0509929387868482	0.705891773263114	0.164790190379045	1.32184741640961	0.164790190379045	2
2	79313996	85531068	50	6217072	3	0.5	1.76617626455745	0.0366439855808533	0.883088132278725	0.0482451169560423	0.883088132278725	0.0482451169560423	2
2	85532454	85533628	3	1174	0	NA	1.14890524937145	0.0975162125361176	NA	NA	NA	NA	2
2	85536368	95940455	353	10404087	29	0.5	1.92309914088648	0.0150117455460647	0.961549570443239	0.0166372969855961	0.961549570443239	0.0166372969855961	2
2	95942034	95954712	12	12678	1	0.5	2.96217091134209	0.125255237060736	1.48108545567104	0.198765390973338	1.48108545567104	0.198765390973338	2
2	96040105	112994205	894	16954100	48	0.499999997655903	1.98085564522169	0.00971529612039852	0.990427817967527	0.00873083512377842	0.990427827254164	0.00873083512377842	2
2	113060866	113343859	28	282993	2	0.5	1.84183027026399	0.0510570126751309	0.920915135131993	0.108520653813679	0.920915135131993	0.108520653813679	2
2	113404970	113671399	29	266429	4	0.5	2.58817932908631	0.0704233008105075	1.29408966454315	0.0818506229894706	1.29408966454315	0.0818506229894706	2
2	113675282	160901476	1316	47226194	99	0.498799530589046	1.97242277996815	0.00797352630258134	0.983843556771256	0.0115857686546835	0.988579223196897	0.0115857686546835	2
2	160964272	161132186	14	167914	1	0.5	2.97972767091406	0.116649548482133	1.48986383545703	0.331872401873433	1.48986383545703	0.331872401873433	2
2	161137849	176996192	798	15858343	48	0.499975685308702	1.94020966515622	0.010072806974271	0.970057656979047	0.00962674520562275	0.970152008177171	0.00962674520562275	2
2	177016577	177036623	4	20046	3	0.225714971375986	2.23863964636007	0.164079368434239	0.505294483699312	0.220365763795398	1.73334516266076	0.220365763795398	1
2	177053855	189975062	698	12921207	76	0.499999999999998	2.22117912856701	0.0123244076925165	1.1105895642835	0.00848621127574044	1.11058956428351	0.00848621127574044	2
2	190315661	190445164	25	129503	1	0.309403907041969	1.47869652401276	0.043419862365469	0.457514481858926	0.188857101343536	1.02118204215383	0.188857101343536	2
2	190532580	192543784	139	2011204	12	0.460647139256329	2.67989275614625	0.0333036499986064	1.23448493163253	0.115669672365536	1.44540782451372	0.115669672365536	2
2	192550409	193059164	11	508755	2	0.5	1.57163832335791	0.069553236949856	0.785819161678957	0.0960937030198546	0.785819161678957	0.0960937030198546	2
2	196548526	198367807	201	1819281	0	NA	2.45552318837464	0.0253821779329218	NA	NA	NA	NA	2
2	198404855	216226313	808	17821458	50	0.345910413761506	1.66213038046773	0.00858060629850914	0.574948207633162	0.0201250595962979	1.08718217283457	0.0201250595962979	2
2	216230290	216299482	42	69192	2	0.359333294450789	2.41896648032768	0.0547023919290171	0.869215194542173	0.243759163251152	1.5497512857855	0.243759163251152	2
2	216810375	237374250	1225	20563875	114	0.325735659139466	1.63814377775282	0.0068686061154527	0.53360184321153	0.0154199302346411	1.10454193454129	0.0154199302346411	1
2	237489652	242814645	361	5324993	50	0.36174346386503	1.69122524358387	0.0130609806766172	0.611789677790007	0.0304097497478562	1.07943556579386	0.0304097497478562	2
3	369943	14554324	655	14184381	64	0.499886481777274	2.00130071443413	0.0114669627308392	1.00042317311682	0.00967628948645274	1.00087754131731	0.00967628948645274	2
3	14561699	14567011	4	5312	1	0.5	2.73063302788034	0.20002975766002	1.36531651394017	0.320575285261765	1.36531651394017	0.320575285261765	2
3	14703125	44822395	1114	30119270	96	0.499999999999994	1.91398308022101	0.00841045915223284	0.956991540110491	0.00735418173373571	0.956991540110515	0.00735418173373571	2
3	44835813	44952829	35	117016	4	0.5	2.31593285146382	0.0573782833070681	1.15796642573191	0.125823408455669	1.15796642573191	0.125823408455669	2
3	44968259	48575991	450	3607732	48	0.499821992717069	1.98008650371087	0.0136883298438057	0.98969078203694	0.0125016350525146	0.990395721673929	0.0125016350525146	2
3	48587344	48636592	100	49248	2	0.14284740986449	2.88602963661696	0.0422769449145513	0.412261858382888	0.312881864655151	2.47376777823407	0.312881864655151	2
3	48637539	48716355	56	78816	1	0.28655397864755	2.21972468287751	0.0434826651918925	0.636070939380721	0.278850389127336	1.58365374349679	0.278850389127336	2
3	48716849	59737999	1395	11021150	83	0.499999994964412	1.98022864285608	0.00777500508737405	0.990114311456423	0.00932685639083235	0.990114331399656	0.00932685639083235	2
3	59999805	89528599	404	29528794	24	0.358821236346795	1.53916877347855	0.011240777562066	0.552286442245953	0.0283764093876898	0.986882331232595	0.0283764093876898	2
3	93595922	109056337	439	15460415	37	0.402469461126183	2.41261866220189	0.0168756596376517	0.971005332879369	0.0270979633352639	1.44161332932252	0.0270979633352639	2
3	110837650	111264070	5	426420	0	NA	1.59144639303252	0.104458709852653	NA	NA	NA	NA	2
3	111296372	112198458	80	902086	11	0.473394757531553	2.46486016115222	0.0403855120434944	1.16685187833784	0.084303966658332	1.29800828281438	0.084303966658332	2
3	112251586	118649040	194	6397454	18	0.398254270787252	2.33914772611538	0.0246149918905064	0.93157557192774	0.0494487018976206	1.40757215418764	0.0494487018976206	1
3	118867098	118905622	3	38524	1	0.375811876807435	3.46912089926027	0.293284371343986	1.3037368360229	0.493250157085488	2.16538406323737	0.493250157085488	2
3	118909128	119128482	20	219354	4	0.306390975554752	2.26698553080929	0.0743048193617133	0.694583908353164	0.237950181130098	1.57240162245612	0.237950181130098	1
3	119133906	126710317	577	7576411	63	0.408190768681048	2.38441376387868	0.0145483110216119	0.97329568713131	0.0271338985738131	1.41111807674737	0.0271338985738131	2
3	126723789	132389850	422	5666061	23	0.368764340782519	2.47428406431247	0.0176509081462574	0.912427731884881	0.0420615383645193	1.56185633242759	0.0420615383645193	1
3	132390957	137787100	206	5396143	23	0.417741303488705	2.44243559223335	0.0249389893628846	1.02030622798677	0.0650323409810582	1.42212936424658	0.0650323409810582	2
3	137796407	137805833	4	9426	0	NA	3.6490584302626	0.267139909809755	NA	NA	NA	NA	2
3	137811305	164907151	868	27095846	51	0.40749942432166	2.44730142792357	0.0121734738942422	0.997273923020432	0.0259109292468688	1.45002750490314	0.0259109292468688	2
3	165548062	167189498	18	1641436	13	0.346788670776224	1.44666944483383	0.0500675955822739	0.5016885738265	0.0347623692600567	0.944980871007326	0.0347623692600567	2
3	167240187	182789071	450	15548884	26	0.315274316032855	3.37641682829706	0.0233079128142438	1.06449750618318	0.0501356783343168	2.31191932211388	0.0501356783343168	2
3	182810264	197765487	966	14955223	102	0.289713488148615	3.49694315334293	0.016474920209605	1.0131115988124	0.0231291449344569	2.48383155453053	0.0231291449344569	1
4	59385	5667308	450	5607923	59	0.314567681732902	1.51681878960385	0.0104967911835691	0.47714217025459	0.0209086822105438	1.03967661934926	0.0209086822105438	2
4	5687151	5811291	18	124140	6	0.5	1.91139734009945	0.0660755862005024	0.955698670049725	0.0481227749753324	0.955698670049725	0.0481227749753324	2
4	5830305	56886893	1248	51056588	144	0.332253947417192	1.51793393915554	0.00630773240150856	0.504339543202956	0.0115399232847099	1.01359439595258	0.0115399232847099	2
4	57164455	57389952	46	225497	11	0.378642392363983	1.39047810238139	0.0301086672243048	0.526493955215423	0.0562524824057086	0.863984147165971	0.0562524824057086	2
4	57677905	69362441	114	11684536	12	0.323059898033802	1.57345971688883	0.0216302780705779	0.5083217356984	0.0377691173302255	1.06513798119043	0.0377691173302255	2
4	69416504	69433840	5	17336	0	NA	2.25270130679592	0.147676070669229	NA	NA	NA	NA	2
4	69519864	74477496	263	4957632	10	0.316192512621589	1.53601434000324	0.0139034358065854	0.485676233588417	0.0455847522076902	1.05033810641483	0.0455847522076902	2
4	74607326	74904068	19	296742	0	NA	2.59709185981464	0.0873026833102875	NA	NA	NA	NA	2
4	74964577	95494522	800	20529945	50	0.360159963663308	1.58633029838617	0.0082317518086955	0.571332662624768	0.0220801167170058	1.01499763576141	0.0220801167170058	2
4	95506801	103611840	227	8105039	35	0.300107872809674	1.56505262238961	0.0152470216476359	0.469684613340548	0.0208100514375205	1.09536800904906	0.0208100514375205	1
4	103644112	191012705	2143	87368593	214	0.341419989139409	1.6416868031635	0.00520427171187666	0.560504690506391	0.00935814381635735	1.0811821126571	0.00935814381635735	2
5	143556	13692168	372	13548612	64	0.421783147918773	2.41172168868665	0.0183256973856035	1.01722356575823	0.0460104711612423	1.39449812292841	0.0460104711612423	2
5	13701468	16781875	172	3080407	25	0.382705927341216	2.67295092472767	0.0298614885843489	1.02295416238547	0.0459512896289763	1.64999676234221	0.0459512896289763	1
5	19473579	32407002	136	12933423	12	0.459335379633817	2.52285922928215	0.0317010921609453	1.158838501845	0.101833565818047	1.36402072743716	0.101833565818047	2
5	32417824	35807293	154	3389469	7	0.356367194701371	2.65863353688171	0.0313898168584166	0.947449775277519	0.0861990554366747	1.71118376160419	0.0861990554366747	1
5	35861022	52211358	510	16350336	30	0.414800703388229	2.5156523393603	0.0163237358985914	1.04349435984689	0.0399713258056968	1.4721579795134	0.0399713258056968	2
5	52216229	52781821	45	565592	4	0.380007864009088	3.7781095818417	0.0824571804236008	1.43571135218793	0.180950430827268	2.34239822965376	0.180950430827268	2
5	52899320	56558499	193	3659179	25	0.419385541387623	2.58352593593278	0.027249418918028	1.08349342333013	0.0452869327708909	1.50003251260264	0.0452869327708909	2
5	57750505	57755651	14	5146	0	NA	3.62212437275537	0.141740296944032	NA	NA	NA	NA	2
5	57913343	74072462	516	16159119	41	0.421429850165682	2.51268155759669	0.016209440333429	1.05891901233204	0.032065492795056	1.45376254526464	0.032065492795056	2
5	74078857	74889788	48	810931	2	0.285170874392074	2.45030365999013	0.0518304207186023	0.698755237245484	0.184429317610087	1.75154842274465	0.184429317610087	1
5	74893592	75948616	36	1055024	9	0.373703430061788	2.05428112997578	0.0502027098166804	0.767691904583154	0.0874730845687199	1.28658922539262	0.0874730845687199	2
5	75950793	79755272	195	3804479	16	0.490320474552181	2.40374913379766	0.0252278768320507	1.17860741598806	0.0484911883118521	1.2251417178096	0.0484911883118521	2
5	79769625	79815620	6	45995	1	0.346722319404281	3.22620528589848	0.192890506470661	1.11859737960107	0.43005188058785	2.10760790629741	0.43005188058785	2
5	79837571	139936794	1859	60099223	159	0.417185670745493	2.45882034256325	0.00835734551754542	1.02578461385491	0.0153102092052052	1.43303572870834	0.0153102092052052	2
5	139939993	148207015	458	8267022	129	0.390213330738977	2.42144328428263	0.0165821722029817	0.944879449155453	0.0189501165893519	1.47656383512718	0.0189501165893519	1
5	148386541	148411183	7	24642	1	0.5	3.60503300388471	0.199506984703061	1.80251650194235	0.401569976942867	1.80251650194235	0.401569976942867	2
5	148420203	173040195	942	24619992	112	0.416643537136675	2.4613514998484	0.0117524443343236	1.0255061950335	0.0218445175343354	1.4358453048149	0.0218445175343354	2
5	173337566	180431748	552	7094182	60	0.347588812466495	1.55217568882558	0.00969741591916378	0.539518904418247	0.0215773448989288	1.01265678440733	0.0215773448989288	2
5	180472543	180794756	14	322213	5	0.5	2.64887282462029	0.103727010583101	1.32443641231014	0.162419952776142	1.32443641231014	0.162419952776142	2
6	345890	2679577	47	2333687	5	0.5	1.9282217357982	0.0412497031594006	0.964110867899102	0.031979788805099	0.964110867899102	0.031979788805099	2
6	2683325	2689137	4	5812	0	NA	3.43104373187408	0.251209383997009	NA	NA	NA	NA	2
6	2769020	2900761	17	131741	2	0	2.21705048252329	0.0788249654482092	0	0.419476087770927	2.21705048252329	0.419476087770927	2
6	2949225	26094433	674	23145208	71	0.500000000000006	1.946247883493	0.0109942792420376	0.97312394174651	0.00798904592882308	0.973123941746488	0.00798904592882308	2
6	26108009	26273393	21	165384	1	0.5	2.72714068316325	0.0871887699221205	1.36357034158162	0.203296170300553	1.36357034158162	0.203296170300553	2
6	26368452	27425124	73	1056672	10	0.5	1.92965006741974	0.0331229321243427	0.964825033709869	0.0522639226343815	0.964825033709869	0.0522639226343815	2
6	27776183	27879560	15	103377	0	NA	2.88170102313004	0.108995268045134	NA	NA	NA	NA	2
6	28053463	29633985	93	1580522	35	0.49970724232135	2.03392697608312	0.0309262202072729	1.0163680403015	0.019161587395772	1.01755893578162	0.019161587395772	2
6	29637974	29695808	17	57834	5	0.5	2.83724506416767	0.100807503767911	1.41862253208383	0.0621661934927273	1.41862253208383	0.0621661934927273	2
6	30040979	33143404	866	3102425	152	0.499999998207919	1.92604789602525	0.00959892619661233	0.963023944560992	0.00755886379082287	0.963023951464258	0.00755886379082287	2
6	33144795	33146106	5	1311	1	0.296163426516356	2.78736746564351	0.182620023178892	0.825516299585193	0.350974577741074	1.96185116605832	0.350974577741074	2
6	33146482	84930831	2431	51784349	204	0.499999998630332	1.97518073214099	0.00587476678398101	0.987590363365154	0.00470610005419851	0.987590368775838	0.00470610005419851	2
6	85448261	86201794	10	753533	3	0.382102597728242	2.777599012185	0.128680416659752	1.06132779800329	0.198575015756783	1.71627121418171	0.198575015756783	2
6	86217731	130031224	1308	43813493	92	0.499999999999993	1.96828484660777	0.00798115232379883	0.984142423303872	0.00624853882825738	0.984142423303898	0.00624853882825738	2
6	130164711	130182316	3	17605	0	NA	2.79001905625944	0.235985164068286	NA	NA	NA	NA	2
6	130370482	131602767	51	1232285	2	0.5	1.6776913742138	0.0344722028423369	0.838845687106899	0.161646612987209	0.838845687106899	0.161646612987209	2
6	131897838	161032673	1279	29134835	110	0.499999999999986	1.9905625663501	0.00816216263364271	0.995281283175023	0.00586583688292894	0.995281283175078	0.00586583688292894	2
6	161038228	161067336	12	29108	0	NA	1.29191431288916	0.0547913000056846	NA	NA	NA	NA	2
6	161085221	170892713	257	9807492	31	0.500000000000003	2.09664419381335	0.0191755387533188	1.04832209690668	0.0137588426605254	1.04832209690667	0.0137588426605254	2
7	540563	48284236	1741	47743673	221	0.499999999999997	2.01500384536589	0.00708146528441357	1.00750192268294	0.00491395786007548	1.00750192268295	0.00491395786007548	2
7	48287938	48318603	4	30665	1	0.5	3.05567938881291	0.22378118121747	1.52783969440645	0.276210247273785	1.52783969440645	0.276210247273785	2
7	48335378	57188202	106	8852824	24	0.494732260381265	2.17125009473482	0.0309170303188102	1.07418746722119	0.0355585018411488	1.09706262751362	0.0355585018411488	2
7	57194361	82455940	657	25261579	28	0.36661609469042	1.52562789136998	0.0087374315799244	0.559319739484842	0.030442504743585	0.966308151885134	0.030442504743585	2
7	82538260	93628543	406	11090283	29	0.323144969194745	1.49992385249708	0.0109284174948111	0.48469284710963	0.0222856302960422	1.01523100538745	0.0222856302960422	1
7	94024378	94059631	38	35253	1	0.5	2.72400172771309	0.064741012731044	1.36200086385655	0.176602040098343	1.36200086385655	0.176602040098343	2
7	94147574	95224405	75	1076831	4	0.348901567089728	1.38285473884852	0.0234511394030282	0.482480185441705	0.120197971506003	0.900374553406814	0.120197971506003	2
7	95457398	103252153	766	7794755	82	0.499724954016227	1.9587508590354	0.010378955766315	0.978836682960711	0.0115375823001683	0.979914176074691	0.0115375823001683	2
7	103275952	103281022	3	5070	0	NA	3.39332856133073	0.286889394028442	NA	NA	NA	NA	2
7	103292171	112555431	359	9263260	20	0.499893069013489	2.06062053989486	0.0159464824025429	1.03008992576027	0.0131706674445653	1.03053061413458	0.0131706674445653	2
7	113518978	115614266	27	2095288	1	0.381341162435309	1.64790448817167	0.0465397551424663	0.628413813101748	0.188990477379981	1.01949067506992	0.188990477379981	2
7	115857825	141765201	1156	25907376	106	0.500000000000005	2.0174802009864	0.0087011207760384	1.00874010049321	0.00578023188804077	1.00874010049319	0.00578023188804077	2
7	141765572	141794604	7	29032	0	NA	2.89648312225707	0.160369244893026	NA	NA	NA	NA	2
7	141796172	143043711	152	1247539	17	0.499942228424669	1.97092556322644	0.0234437960826173	0.985348918138575	0.0178906596122105	0.98557664508787	0.0178906596122105	2
7	143047516	144097303	70	1049787	4	0.5	1.75926264786548	0.0308490582369965	0.879631323932742	0.101331096335804	0.879631323932742	0.101331096335804	2
7	144101710	158935187	601	14833477	82	0.499999999999999	1.94049933222211	0.0116085861143491	0.970249666111056	0.0104253512091859	0.970249666111059	0.0104253512091859	2
8	190901	24199190	792	24008289	122	0.499999997655221	2.04150703345818	0.0106369188179702	1.02075351194221	0.00753286645484628	1.02075352151597	0.00753286645484628	2
8	24207430	24211313	4	3883	0	NA	3.05333025702708	0.223609528091198	NA	NA	NA	NA	2
8	24253270	39678604	648	15425334	46	0.5	1.99654099457659	0.0115014066124089	0.998270497288297	0.00958663699747046	0.998270497288298	0.00958663699747046	2
8	39775666	41122846	12	1347180	1	0.5	2.43603145683304	0.103058732979241	1.21801572841652	0.250943192336547	1.21801572841652	0.250943192336547	2
8	41355103	132982806	2342	91627703	139	0.499999994179497	1.96406610197433	0.00595178739376007	0.982033039555311	0.00445754724915086	0.982033062419015	0.00445754724915086	2
8	132991179	134146978	106	1155799	1	0.5	2.00461265107095	0.0285516880438038	1.00230632553547	0.208638979317265	1.00230632553547	0.208638979317265	2
8	134232953	143599550	211	9366597	28	0.499939014239836	2.0156253789017	0.0203476741329329	1.00768976500491	0.0144672978185877	1.00793561389679	0.0144672978185877	2
8	143623654	144130647	36	506993	18	0.468650393957586	2.49073322212022	0.0608333559326336	1.16728310578989	0.11653504979039	1.32345011633033	0.11653504979039	2
8	144240279	146279473	360	2039194	75	0.499999973971548	2.01904361690489	0.0156040792194247	1.00952175589986	0.015536332538982	1.00952186100502	0.015536332538982	2
9	286572	115060158	3300	114773586	287	0.499999998849802	1.91475210764277	0.0048885399872928	0.957376051619038	0.00386014556796836	0.957376056023727	0.00386014556796836	2
9	115167952	115950719	40	782767	3	0.29948301254235	1.98948833960222	0.0461293026518454	0.595817961361952	0.177565752924997	1.39367037824027	0.177565752924997	0
9	115959284	117085470	134	1126186	8	0.5	1.91178726478986	0.0242221756469515	0.955893632394928	0.0304026292586972	0.955893632394928	0.0304026292586972	2
9	117086332	117092241	4	5909	0	NA	4.42833392389987	0.324082255708403	NA	NA	NA	NA	2
9	117093106	117692485	44	599379	2	0.5	1.84743446943964	0.0408528762078896	0.923717234719818	0.148963378753458	0.923717234719818	0.148963378753458	2
9	117786333	141016185	2094	23229852	179	0.499999936115571	1.96150469180119	0.0062861933655554	0.980752220590991	0.0123016296389266	0.980752471210204	0.0123016296389266	2
10	94609	37451739	1399	37357130	132	0.500000000000014	2.00161827144944	0.00784745556608051	1.00080913572475	0.00544921508344736	1.00080913572469	0.00544921508344736	2
10	37458471	37462802	4	4331	0	NA	1.20439226254131	0.0885060022049225	NA	NA	NA	NA	2
10	37486222	46969350	113	9483128	15	0.496763637313854	1.99701672675472	0.0275487790491269	0.992045292959281	0.0280373914422401	1.00497143379544	0.0280373914422401	2
10	47903182	48268038	28	364856	9	0.189202565709821	2.63254771657917	0.0728952025327386	0.49808478233031	0.0629450194006366	2.13446293424886	0.0629450194006366	2
10	48382082	51632937	129	3250855	12	0.5	1.9474510405059	0.0251460231670775	0.973725520252948	0.0230408524689355	0.973725520252948	0.0230408524689355	2
10	51838465	52103562	45	265097	1	0.244636078292917	2.61360495043389	0.0570878330505882	0.639382065281101	0.346780047452571	1.97422288515279	0.346780047452571	2
10	52504997	75632793	885	23127796	62	0.49990664305881	2.01668427776121	0.00994057918433382	1.00815386740509	0.0119012134725895	1.00853041035612	0.0119012134725895	2
10	75672026	75830786	10	158760	1	0.5	2.78301850680094	0.128930873629076	1.39150925340047	0.242674579258258	1.39150925340047	0.242674579258258	2
10	75834580	127693535	2891	51858955	236	0.499983145986978	1.98566321974989	0.00541564140713045	0.992798143481184	0.00467999079589567	0.99286507626871	0.00467999079589567	2
10	127697661	128193089	27	495428	4	0.5	2.85499115853886	0.0804890613905916	1.42749557926943	0.10970556780345	1.42749557926943	0.10970556780345	2
10	128776231	135490828	204	6714597	34	0.497355968272622	2.04813182834561	0.021026436947801	1.0186505886368	0.029279639380058	1.0294812397088	0.029279639380058	2
11	194433	18266992	1416	18072559	273	0.499999999759975	1.97650057108816	0.00770265747652468	0.988250285069672	0.00562035727818802	0.98825028601849	0.00562035727818802	2
11	18269512	18291332	4	21820	1	0.5	2.80060603175628	0.20514274661297	1.40030301587814	0.236600302810111	1.40030301587814	0.236600302810111	2
