Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	32154668	2813	32085119	277	0.50000000000002	2.02753632045285	0.00562255614917019	1.01376816022646	0.00417160016726036	1.01376816022638	0.00417160016726036	2
1	32155980	32158220	7	2240	0	NA	2.8424877201326	0.157863548291824	NA	NA	NA	NA	2
1	32163639	44456044	1319	12292405	50	0.499999999999997	1.99755310120191	0.00808998691217801	0.998776550600947	0.0111590774414727	0.99877655060096	0.0111590774414727	2
1	44457971	44461720	5	3749	0	NA	2.8717655417062	0.188705978684949	NA	NA	NA	NA	2
1	44463611	47407007	396	2943396	12	0.499643106843917	1.99677571793073	0.014758905533472	0.997675223377401	0.0226623414213621	0.999100494553325	0.0226623414213621	2
1	47495732	47498976	3	3244	0	NA	3.06021894716894	0.259567412497567	NA	NA	NA	NA	2
1	47501765	67685334	968	20183569	70	0.495678528487673	1.96348214304746	0.00928296705846477	0.973255939377586	0.0238095877954678	0.990226203669873	0.0238095877954678	2
1	67705912	67855761	16	149849	1	0.5	2.50362575710065	0.0919988537507623	1.25181287855032	0.272417733880874	1.25181287855032	0.272417733880874	2
1	67880935	79002231	337	11121296	23	0.500000000000001	1.97094644869239	0.0157925300281167	0.985473224346196	0.0163441794314613	0.985473224346194	0.0163441794314613	2
1	79095502	79126288	11	30786	2	0.39769176706389	3.15657235130727	0.139813212122805	1.25534283625641	0.25848528703528	1.90122951505087	0.25848528703528	2
1	79357292	87045826	240	7688534	26	0.499921145010766	2.0407831681704	0.019374558465879	1.02023065815044	0.0127999335125688	1.02055251001995	0.0127999335125688	2
1	87101352	87181477	5	80125	0	NA	3.40283818919709	0.22352047845432	NA	NA	NA	NA	2
1	87188289	89652112	84	2463823	9	0.0144952891523582	2.06654612718067	0.0331610285832254	0.0299551836601699	0.0317146733336457	2.0365909435205	0.0317146733336457	1
1	89652733	94480172	246	4827439	19	0.499999999999999	1.97642658105722	0.0185353510676422	0.988213290528611	0.0171260237276876	0.988213290528614	0.0171260237276876	2
1	94487232	94490556	3	3324	0	NA	3.44597057316943	0.292214043129989	NA	NA	NA	NA	2
1	94497466	103548444	347	9050978	11	0.471039511428398	2.06044142842535	0.0162675556906788	0.970549323772306	0.0781141314276196	1.08989210465304	0.0781141314276196	2
1	104114804	104163239	14	48435	0	NA	3.30977822335845	0.129933258329224	NA	NA	NA	NA	2
1	104164465	144923755	849	40759290	124	0.497012534857674	1.96274228913031	0.00990849132771844	0.97550752039301	0.0177500545241093	0.987234768737304	0.0177500545241093	2
1	144931145	145273314	15	342169	6	0.140370605396876	2.03454932678184	0.0772622939878924	0.285590920710172	0.0491327639042146	1.74895840607167	0.0491327639042146	1
1	145281536	152800114	749	7518578	41	0.500000000000002	2.00352248779671	0.0107676465725944	1.00176124389836	0.0107147203133085	1.00176124389835	0.0107147203133085	2
1	152883152	153004956	5	121804	8	0.5	3.02133847301211	0.198511241311553	1.51066923650606	0.124887114408448	1.51066923650606	0.124887114408448	2
1	153029101	153410734	27	381633	1	0.198786981412304	2.32400004880438	0.0657534363731263	0.461980954503869	0.357350915485326	1.86201909430051	0.357350915485326	2
1	153431418	161039365	1377	7607947	107	0.499837743883699	1.93620242420996	0.00767542631821817	0.967787051419256	0.00817887201670684	0.968415372790706	0.00817887201670684	2
1	161043547	161047387	5	3840	0	NA	3.31530393936798	0.217782165372512	NA	NA	NA	NA	2
1	161059046	161561975	132	502929	6	0.361019950438748	1.83262641004855	0.02346885290835	0.661614695728467	0.125312079031989	1.17101171432008	0.125312079031989	2
1	161569499	171073019	386	9503520	58	0.499999999999999	2.05398981848291	0.0153757355839286	1.02699490924145	0.00954469727390108	1.02699490924146	0.00954469727390108	2
1	171077290	171254511	20	177221	4	0.397581517764449	2.67589997932407	0.0879329999035556	1.06388837516552	0.155566935236704	1.61201160415855	0.155566935236704	2
1	171292236	237993879	3656	66701643	306	0.499999999999983	2.02624990937344	0.00492879623488774	1.01312495468669	0.00369410887042371	1.01312495468676	0.00369410887042371	2
1	238046093	238049120	4	3027	0	NA	3.3174163019347	0.243642683968134	NA	NA	NA	NA	2
