sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	69549	27941017	2517	27871468	0.00593	0.0101307091496405	1.01396	2	2	0	0	2	2.07932446107405	0	1.01396	1.01396	1.01396	1	1	1	1	0	0	0.04	0	0.08503	0.04	0	0.08503	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	27943442	27949603	4	6161	0.08933	0	0.60785	1	0.92607	0	0	0.92607	0.259265712719057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	27992938	32151713	272	4158775	0.01849	0.00151010570739952	1.03967	2	2	0	0	2	2.19454868707244	0	1.03967	1.03967	1.03967	1	1	1	1	0	0	0.1	0.00171	0.2185	0.1	0.00171	0.2185	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	32154516	32158220	10	3704	0.1218	0	1.31434	3	3.47208	0	0	3.47208	3.4255342240222	0	1.31434	1.31434	1.31434	2	2	1.61301	1.61301	0	0	0.71	0.02985	0.97596	0.71	0.02985	0.97596	0	0	0	0	0	1.61301	1.61301
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	32163639	39950337	802	7786698	0.01065	0.00283019811386797	1.02855	2	2	0	0	2	2.14471230461028	0	1.02855	1.02855	1.02855	1	1	1	1	0	0	0.07	0.00615	0.13379	0.07	0.00615	0.13379	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	39976940	40307500	49	330560	0.03827	0.000120008400588041	0.91307	2	1.99209	0	0	1.99209	1.62716685076764	0	0.91307	0.58316	1.24297	0	2	0.15081	1.50882	0	0	0.93	0.08447	0.98387	0.55	0.03065	0.96758	1	0	0	0	0	0.15081	1.50882
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	40310257	45797909	631	5487652	0.01185	0.00199013930975168	1.01469	2	2	0	0	2	2.0825960940954	0	1.01469	1.01469	1.01469	1	1	1	1	0	0	0.04	0	0.10982	0.04	0	0.10982	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	45798302	45798805	4	503	0.09927	0	0.67584	1	1.00675	0	0	1.00675	0.563975752611342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	45799175	79002231	1550	33203056	0.00731	0.0120708449591471	0.98106	2	2	0	0	2	1.93187689065993	0	0.98106	0.98106	0.98106	1	1	1	1	0	0	0.03	0	0.09246	0.03	0	0.09246	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	79095502	79128475	12	32973	0.13315	1.00007000490034e-05	1.57465	5	4.55957	0	0	4.55957	4.5921627059219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	79383351	89637523	334	10254172	0.01644	0.00373026111827828	1.02439	2	2	0	0	2	2.12606847807767	0	1.02439	1.02439	1.02439	1	1	1	1	0	0	0.06	0.002	0.12142	0.06	0.002	0.12142	0	0	0	0	0	1	1
AC-P15-TP-NT-SM-63B5D-SM-63B5E	1	89652112	91989794	86	2337682	0.0333	0.000850059504165292	1.05312	2	2.00006	0	0	2.00006	2.25482740506849	0	1.05312	0.08827	2.01798	0	3	0	3	1	1	NA	NA	NA	0.29	0.13654	0.4325	1	0	0	0	0	0	3
