Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	144859878	7675	144790329	807	0.499999999336402	2.01146378434086	0.00239822350774988	1.00573189083563	0.00166904901066795	1.00573189350523	0.00166904901066795	2
1	144863379	145273314	48	409935	12	0.195092251794891	2.06686286055726	0.0311567582606252	0.403228929617346	0.0615108560867617	1.66363393093992	0.0615108560867617	0
1	145281536	249211681	6731	103930145	556	0.499999998992708	2.00701379001237	0.00255524045364141	1.00350689298453	0.00204935373399209	1.00350689702783	0.00204935373399209	2
2	45912	179526527	7103	179480615	643	0.499979003937481	2.00101597030247	0.0024800307753022	1.00046597169482	0.00235077052416021	1.00054999860765	0.00235077052416021	2
2	179527497	179528034	3	537	0	NA	1.3015131870493	0.0786920143138161	NA	NA	NA	NA	2
2	179528395	242814645	3292	63286250	436	0.500000000000031	2.00415057042354	0.00364858615848254	1.00207528521183	0.00237278994547126	1.00207528521171	0.00237278994547126	2
3	369943	113804635	4957	113434692	436	0.499802425728974	1.9180528087576	0.00284621948515938	0.958647446493319	0.0050419425200314	0.959405362264277	0.0050419425200314	2
3	113850105	158364019	2019	44513914	229	0.417586333216532	2.1193010263036	0.00492533672422519	0.884991144556152	0.010862184790713	1.23430988174744	0.010862184790713	1
3	158366887	182937677	644	24570790	55	0.476568201250027	2.16404489406527	0.00890418540400477	1.03131498258899	0.056736049008128	1.13272991147628	0.056736049008128	2
3	182941931	197765487	963	14823556	118	0.394312914227545	2.24715886072031	0.00755997573352647	0.886083759102876	0.0169332103368161	1.36107510161744	0.0169332103368161	1
4	59385	70080079	1918	70020694	246	0.499999911915129	1.92039072192072	0.00458120731987695	0.960195191802991	0.00684686168928731	0.960195530117731	0.00684686168928731	2
4	70148305	70156419	4	8114	0	NA	1.47046171245213	0.0769307901052148	NA	NA	NA	NA	2
