Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	3643733	335	3574184	42	0.499999977437872	2.00441042135208	0.0112325141055009	1.00220516545227	0.017470452358402	1.0022052558998	0.017470452358402	2
1	3645951	6885210	194	3239259	17	0.319708602676671	1.44823593907938	0.0106846838586081	0.463013488429205	0.0348856112817981	0.985222450650178	0.0348856112817981	2
1	7309618	11132185	322	3822567	49	0.2757499676106	1.42971012551467	0.0081880613937926	0.394242520803218	0.0162543152051457	1.03546760471145	0.0162543152051457	1
1	11134027	11345944	78	211917	6	0.373052112609621	1.43988152155379	0.0167540423830019	0.537150843523195	0.0858006635763667	0.902730678030591	0.0858006635763667	2
1	11562844	40240615	2738	28677771	328	0.499999998702341	2.02365062436675	0.00396653647853787	1.01182530955737	0.00324662428539508	1.01182531480938	0.00324662428539508	2
1	40309831	40366858	10	57027	0	NA	2.58280478999687	0.0836817951484049	NA	NA	NA	NA	2
1	40424434	144874792	3985	104450358	386	0.50000000000003	1.98257042358697	0.00322144302147817	0.991285211793541	0.00221539954205146	0.991285211793424	0.00221539954205146	2
1	144876002	145115811	38	239809	7	0.158586051397644	1.82817166689751	0.0304327707827921	0.289922525930326	0.0856042129809852	1.53824914096719	0.0856042129809852	2
1	145248875	249211681	6730	103962806	767	0.499999999578351	1.98128083648545	0.00247728453223202	0.990640417407321	0.00140520919823884	0.990640419078133	0.00140520919823884	2
2	45912	207026132	8384	206980220	670	0.499999999973783	1.95339682526468	0.00218843035676304	0.976698412581129	0.00153857506271999	0.976698412683553	0.00153857506271999	2
2	207026794	207509166	23	482372	4	0.5	2.18386011340174	0.0466874341304501	1.09193005670087	0.071799944489374	1.09193005670087	0.071799944489374	2
2	207527872	242814645	1982	35286773	254	0.499999999527488	1.97603476248915	0.00455287590189461	0.988017380310874	0.00402913543634968	0.988017382178276	0.00402913543634968	2
3	369943	160254605	7060	159884662	697	0.499999999422612	1.96652710649869	0.00240077247361654	0.983263552113894	0.00144704223542231	0.983263554384792	0.00144704223542231	2
3	160474295	168840441	125	8366146	15	0.154148390056337	6.3569015572489	0.0581238571363134	0.979906140796541	0.0672441142792051	5.37699541645236	0.0672441142792051	1
3	168861552	169513335	14	651783	4	0.200498290447451	6.22456917877631	0.170068325243829	1.24801547911654	0.279410481976855	4.97655369965977	0.279410481976855	2
3	169514609	183670965	482	14156356	43	0.151711232023889	6.31197890191792	0.0293907536720102	0.95759809571876	0.0356183182946648	5.35438080619916	0.0356183182946648	1
3	183679370	183754257	18	74887	5	0.0630642138671333	7.80207673690725	0.187937785213321	0.492031835944104	0.538000366916215	7.31004490096314	0.538000366916215	2
3	183756304	194369471	610	10613167	70	0.164417060960469	6.44070228539603	0.0266577541856834	1.05896134028619	0.0339381660032092	5.38174094510984	0.0339381660032092	2
3	194371894	194380831	4	8937	2	0.155717558035408	8.2996019660841	0.424067272495271	1.29239375082449	1.31878988847906	7.00720821525961	1.31878988847906	2
3	194386974	197765487	242	3378513	31	0.135332369480881	6.4715058834501	0.042525534336269	0.875804225316763	0.0520597182163547	5.59570165813334	0.0520597182163547	2
4	59385	68703968	1850	68644583	249	0.499999999999989	1.96181007430512	0.00467874837380319	0.980905037152538	0.00281004450453518	0.980905037152581	0.00281004450453518	2
4	68725335	69520856	37	795521	7	0.5	2.16733464473072	0.0365324676501638	1.08366732236536	0.0427889950815254	1.08366732236536	0.0427889950815254	2
