sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	69549	31906978	2768	31837429	0.00372	0.01176	0.81841	1	1	0	0	1	1.01879316108652	0	0.81841	0.59533	1.04149	0	1	0	1	0	0	1	0.93329	1	0.03	0	0.08814	1	0	0	0	0	0	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	32044836	55266552	2235	23221716	0.00522	0.00858	1.03461	2	2	0	0	2	2.02727757767415	0	1.03461	1.03461	1.03461	1	1	1	1	0	0	0.01	0	0.06159	0.01	0	0.06159	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	55273280	55280649	6	7369	0.14442	0	1.48387	4	4.10272	0	0	4.10272	4.12289140281827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	55307318	67207036	460	11899718	0.01173	0.0044	1.0539	2	2	0	0	2	2.11725752400151	0	1.0539	1.05364	1.05417	1	1	1	1	0	0	0.06	0	0.12183	0.06	0	0.12323	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	67242023	79474648	430	12232625	0.01417	0.00452	1.23162	3	3	0	0	3	2.94624850696152	0	1.23162	1.06272	1.40053	1	2	1	2	0	0	0.08	0	0.23944	0.87	0.70081	0.98303	0	0	0	0	0	1	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	82372808	82456451	20	83643	0.04308	3e-05	0.80616	1	1.00001	0	0	1.00001	0.961651930266912	0	0.80616	0.49104	1.12128	0	1	0.01689	1.12528	0	0	1	0.23855	1	0.22	0.01004	0.91565	1	0	0	0	0	0.01689	1.12528
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	84348732	94362274	545	10013542	0.01069	0.0037	1.04573	2	2	0	0	2	2.07914782148754	0	1.04573	1.04571	1.04574	1	1	1	1	0	0	0.04	0	0.09329	0.04	0	0.09338	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	94461707	103548444	365	9086737	0.01023	0.00336	0.81778	1	1	0	0	1	1.01585446921579	0	0.81778	0.57277	1.06278	0	1	0	1	0	0	1	0.87467	1	0.08	0	0.21852	1	0	0	0	0	0	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	104114804	108313303	71	4198499	0.02635	0.00155	0.92971	2	1.94746	0	0	1.94746	1.5379620582475	0	0.92971	0.48716	1.37226	0	2	0.00187	1.91223	0	0	1	0.38918	1	0.8	0.13536	0.98195	1	0	0	0	0	0.00187	1.91223
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	108417580	110235872	245	1818292	0.01223	0.00067	0.80139	1	1	0	0	1	0.939401834674299	0	0.80139	0.53809	1.0647	0	1	0	1	1	0	NA	NA	NA	0.08	0	0.19993	1	0	0	0	0	0	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	110255277	116534757	257	6279480	0.0118	0.00232	0.79188	1	1	0	0	1	0.895041581197202	0	0.79188	0.63672	0.94704	0	1	0	1	0	1	0.91	0.795	0.98976	0.19	0.07305	0.29833	1	0	0	0	0	0	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	116569578	143767600	251	27198022	0.01522	0.01005	1.00992	2	2	0	0	2	1.91210884388345	0	1.00992	1.00992	1.00992	1	1	1	1	0	0	0.04	0	0.11603	0.04	0	0.11603	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	144852398	145273314	55	420916	0.03193	0.00016	0.99206	2	2	0	0	2	1.82879926164361	0	0.99206	0.46488	1.51923	0	2	0	2	1	0	NA	NA	NA	0.14	0.00545	0.33994	1	0	0	0	0	0	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	145281536	155041530	1193	9759994	0.00705	0.0036	1.02045	2	2	0	0	2	1.96122697943696	0	1.02045	1.02045	1.02045	1	1	1	1	0	0	0.02	0	0.0671	0.02	0	0.0671	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	155058642	161736191	1137	6677549	0.0109	0.00247	1.54239	4	4	0	0	4	4.3958632254765	0	1.54239	1.02065	2.06413	1	3	1	3	0	1	0.02	0	0.1321	0.41	0.30104	0.5186	0	0	0	0	0	1	3
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	161753832	177936966	692	16183134	0.01524	0.00598	1.68239	5	5	0	0	5	5.04890586341484	0	1.68239	1.03444	2.33034	1	4	1	4	0	0	0.01	0	0.14327	0.04	0	0.16068	0	0	0	0	0	1	4
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	178269189	196799720	760	18530531	0.00905	0.00684	1.04547	2	2	0	0	2	2.07793502801708	0	1.04547	1.04537	1.04557	1	1	1	1	0	0	0.04	0	0.10046	0.04	0	0.10102	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	196857309	196887437	6	30128	0.05753	1e-05	0.58862	0	0.03746	1	0	0.03746	-0.0530830372838446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	196918681	227288816	1903	30370135	0.00563	0.01122	1.02899	2	2	0	0	2	2.0010625803512	0	1.02899	1.02892	1.02906	1	1	1	1	0	0	0	0	0.05	0	0	0.05035	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	227300492	232564233	321	5263741	0.01648	0.00194	1.2376	3	3	0	0	3	2.97414275678203	0	1.2376	1.06094	1.41427	1	2	1	2	0	0	0.08	0	0.20701	0.9	0.75926	0.98832	0	0	0	0	0	1	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	232575047	235955211	172	3380164	0.02201	0.00125	1.20998	3	3	0	0	3	2.84530677349734	0	1.20998	1.20998	1.20998	1	1	1	1	1	1	0.42	0.31849	0.51702	0.42	0.31849	0.51702	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	235964283	240256002	193	4291719	0.02071	0.00159	1.20632	3	3	0	0	3	2.82823437310552	0	1.20632	1.01307	1.39957	1	2	1	2	0	0	0.04	0	0.23342	0.86	0.67103	0.98544	0	0	0	0	0	1	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	240341294	247492685	260	7151391	0.01725	0.00264	1.16595	3	3	0	0	3	2.63992486386573	0	1.16595	1.15576	1.17614	1	1	1	1	1	1	0.3	0.12504	0.45756	0.34	0.17241	0.50516	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	247586591	248343809	30	757218	0.04146	0.00028	0.95097	2	1.98464	0	0	1.98464	1.6371312474087	0	0.95097	0.54958	1.35236	0	2	0	2	0	1	1	0.92001	1	0.75	0.6298	0.86964	1	0	0	0	0	0	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	1	248402698	249211681	37	808983	0.04364	3e-04	1.11244	2	2.10357	0	0	2.10357	2.39032263846516	0	1.11244	1.11244	1.11244	1	1	1	1	0	0	0.2	0.01848	0.40381	0.2	0.01848	0.40381	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	45912	42488347	1835	42442435	0.0056	0.01568	1.00503	2	2	0	0	2	1.88929899745832	0	1.00503	0.58397	1.42609	0	2	0	2	0	0	1	0.93837	1	0.93	0.85082	0.9855	1	0	0	0	0	0	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	42510037	42528456	7	18419	0.35378	1e-05	3.93327	7	6.93759	0	1	15.5483388125766	15.5483388125766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	42530520	42883390	13	352870	0.12555	0.00013	1.89999	6	5.91973	0	0	5.91973	6.06392070638185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	42935118	58449126	542	15514008	0.01291	0.00573	1.26038	3	3	0	0	3	3.08040212315514	0	1.26038	0.99805	1.5227	1	2	1	2	0	0	0.07	0	0.21169	0.15	0.02062	0.28792	0	0	0	0	0	1	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	60688548	62728482	154	2039934	0.03006	0.00075	1.5649	4	4.47671	0	0	4.47671	4.50086315247644	0	1.5649	1.5649	1.5649	2	2	2	2	1	1	0.25	0.07484	0.41868	0.25	0.07484	0.41868	0	0	0	0	0	2	2
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	62729877	64863532	79	2133655	0.03392	0.00079	1.26392	3	3	0	0	3	3.09691477271444	0	1.26392	1.03691	1.49094	1	2	1.0016	2.00374	0	0	0.02	0.00036	0.69814	0.08	0.00214	0.73663	0	0	0	0	0	1.0016	2.00374
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	65237813	97271152	1222	32033339	0.00693	0.01183	1.01544	2	2	0	0	2	1.93785738217931	0	1.01544	1.01544	1.01544	1	1	1	1	0	0	0.03	0	0.0804	0.03	0	0.0804	0	0	0	0	0	1	1
AC-P02-TP-NT-SM-63B4K-SM-63B4L	2	97275267	97361559	8	86292	0.11236	3e-05	1.33265	3	3.44089	0	0	3.44089	3.41751206203945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
