Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F	
Amplification Peak  1	1q21.3  	chr1:152799948-153043094(probes 18362:18375)	chr1:152800284-153012823(probes 18363:18373)	chr1:152800284-153177481(probes 18363:18382)	0.012438	   0.012438		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	1	2	2	2	0	0	0	1	1	2	0	2	0	0	0	0	0	
Amplification Peak  2	2p23.1  	chr2:31598423-31754526(probes 34945:34965)    	chr2:31602845-31628831(probes 34947:34963)    	chr2:31600106-32108452(probes 34946:34967)    	0.032239	   0.032239		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	0	1	0	0	0	0	0	1	1	2	0	1	0	2	0	
Amplification Peak  3	2p21    	chr2:42488260-42530452(probes 35801:35817)    	chr2:42488437-42530370(probes 35802:35816)    	chr2:42488437-42531621(probes 35802:35819)    	0.10301	    0.10301		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  4	2q11.1  	chr2:95847857-95947887(probes 40099:40117)    	chr2:95941883-95947114(probes 40101:40115)    	chr2:95941883-95947975(probes 40101:40118)    	0.20586	    0.20586		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	1	1	1	0	0	0	0	1	2	0	2	0	0	0	2	0	
Amplification Peak  5	3q28    	chr3:189584470-189681888(probes 74525:74541)	chr3:189584589-189675794(probes 74526:74540)	chr3:167189625-198022430(probes 72558:75144)	1.218e-07	  1.218e-07		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	2	2	1	2	0	2	0	0	1	2	0	2	1	2	0	2	2	
Amplification Peak  6	4q23    	chr4:100263953-100443867(probes 82401:82416)	chr4:100334332-100434366(probes 82403:82415)	chr4:100334332-100445743(probes 82403:82418)	0.22636	    0.22636		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	
Amplification Peak  7	11q13.3 	chr11:69631087-70507698(probes 179565:179700)	chr11:69957869-70026161(probes 179568:179582)	chr11:69631194-71146886(probes 179566:179702)	0.0071075	  0.0071075		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	
Amplification Peak  8	12p12.1 	chr12:25314046-25672789(probes 190233:190246)	chr12:25314134-25671902(probes 190234:190245)	chr12:25314134-25679030(probes 190234:190248)	0.0021045	  0.0021045		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
Amplification Peak  9	12q13.13	chr12:52885523-52940291(probes 193598:193613)	chr12:52909027-52938528(probes 193600:193612)	chr12:52800064-52941767(probes 193584:193615)	0.0071075	  0.0071075		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	1	2	0	1	1	0	0	2	0	2	0	1	0	2	0	
Amplification Peak 10	17q21.2 	chr17:39767756-39846442(probes 253121:253134)	chr17:39775943-39780762(probes 253123:253132)	chr17:39768943-39871686(probes 253122:253136)	0.027738	   0.027738		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	1	1	0	1	1	0	0	2	0	2	0	0	0	2	0	
Amplification Peak 11	18q21.33	chr18:61304952-61387388(probes 266626:266649)	chr18:61306577-61387246(probes 266628:266648)	chr18:61170958-61388219(probes 266600:266651)	2.1078e-05	 2.1078e-05		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	2	2	0	1	0	0	0	2	0	2	0	1	0	2	1	
Amplification Peak 12	20q13.31	chr20:55206860-55777680(probes 292205:292216)	chr20:55206915-55746165(probes 292206:292212)	chr20:55206915-55758976(probes 292206:292215)	0.13082	    0.13082		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	2	2	2	0	0	0	0	0	2	0	2	0	0	0	2	1	
Deletion Peak  1	1p36.23 	chr1:3564127-11708748(probes 148:1597)             	chr1:8934882-9211726(probes 924:993)                	chr1:9017347-9022643(probes 933:934)                	0.11414	  0.11414		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
Deletion Peak  2	2p21    	chr2:1-243199373(probes 31801:55757)               	chr2:40006253-42483638(probes 35775:35797)        	chr2:40366819-40392125(probes 35780:35781)        	0.24649	  0.24649		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	
Deletion Peak  3	2p16.2  	chr2:50850754-54753553(probes 36695:36833)        	chr2:53992513-54093361(probes 36714:36749)        	chr2:53999043-54001663(probes 36718:36719)        	0.1385	  0.15004		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
Deletion Peak  4	2q34    	chr2:204736213-215797355(probes 50712:51513)    	chr2:206927524-213872809(probes 50822:51453)    	chr2:203693735-215632203(probes 50518:51501)    	0.012292	  0.01267		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	
Deletion Peak  5	2q37.1  	chr2:1-243199373(probes 31801:55757)               	chr2:233164749-233321056(probes 54231:54232)    	chr2:225750903-243199373(probes 53415:55757)    	0.09075	  0.24754		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	
Deletion Peak  6	3p24.1  	chr3:28562610-31574805(probes 58083:58150)        	chr3:30045346-31574805(probes 58112:58150)        	chr3:29323250-30842378(probes 58086:58135)        	0.11414	  0.11414		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak  7	3p21.31 	chr3:45781139-45867825(probes 60217:60236)        	chr3:45785024-45867825(probes 60218:60236)        	chr3:45800622-45867803(probes 60221:60235)        	0.18135	  0.19147		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	
