sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	69549	32154668	2813	32085119	0.00562	0.0115906954417265	1.01377	2	2	0	0	2	1.89366775026005	0	1.01377	1.01377	1.01377	1	1	1	1	0	0	0.05	0	0.11547	0.05	0	0.11547	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	32155980	32158220	7	2240	0.15786	0	1.42124	4	4.3269	0	0	4.3269	4.43378954700912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	32163639	44456044	1319	12292405	0.00809	0.00444026641598496	0.99878	2	2	0	0	2	1.80022178924877	0	0.99878	0.99878	0.99878	1	1	1	1	1	1	0.1	0.01133	0.18697	0.1	0.01133	0.18697	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	44457971	44461720	5	3749	0.18871	0	1.43588	4	4.36256	0	0	4.36256	4.52505364768992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	44463611	47407007	396	2943396	0.01476	0.00106006360381623	0.99839	2	2	0	0	2	1.79779057345194	0	0.99839	0.99768	0.9991	1	1	1	1	1	1	0.1	0.00076	0.25253	0.1	1e-05	0.24835	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	47495732	47498976	3	3244	0.25957	0	1.53011	5	4.61542	0	0	4.61542	5.11247278752271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	47501765	67685334	968	20183569	0.00928	0.00729043742624557	0.98174	2	2	0	0	2	1.69399636058751	0	0.98174	0.97326	0.99023	1	1	1	1	1	0	0.18	0.0293	0.33272	0.13	0.00537	0.28112	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	67705912	67855761	16	149849	0.092	5.00030001800108e-05	1.25181	3	3.40474	0	0	3.40474	3.37758213045528	0	1.25181	1.25181	1.25181	2	2	1.52199	1.52199	0	0	0.69	0.02205	0.97514	0.69	0.02205	0.97514	0	0	0	0	0	1.52199	1.52199
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	67880935	79002231	337	11121296	0.01579	0.00402024121447287	0.98547	2	2	0	0	2	1.7172487578238	0	0.98547	0.98547	0.98547	1	1	1	1	1	1	0.14	0.02541	0.25385	0.14	0.02541	0.25385	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	79095502	79126288	11	30786	0.13981	1.00006000360022e-05	1.57829	5	5.18445	0	0	5.18445	5.41282144673043	0	1.57829	1.25534	1.90123	2	3	1.54241	3.14708	0	0	0.7	0.02319	0.97537	0.71	0.02353	0.9756	0	0	0	0	0	1.54241	3.14708
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	79357292	87045826	240	7688534	0.01937	0.0027801668100086	1.02039	2	2	0	0	2	1.93493607993949	0	1.02039	1.02023	1.02055	1	1	1	1	0	0	0.03	0	0.13293	0.03	0	0.13199	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	87101352	87181477	5	80125	0.22352	3.00018001080065e-05	1.70142	5	5.38395	0	0	5.38395	6.18039991099458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	87188289	89652112	84	2463823	0.03316	0.000890053403204192	1.03327	2	2.00003	0	0	2.00003	2.01522854010129	0	1.03327	0.02996	2.03659	0	4	0	4	1	1	NA	NA	NA	0.13	0.00338	0.33725	1	0	0	0	0	0	4
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	89652733	94480172	246	4827439	0.01854	0.00174010440626438	0.98821	2	2	0	0	2	1.73432960726816	0	0.98821	0.98821	0.98821	1	1	1	1	1	1	0.13	0.01762	0.2493	0.13	0.01762	0.2493	0	0	0	0	0	1	1
AC-P04-TP-NT-SM-63B4O-SM-63B4P	1	94487232	94490556	3	3324	0.29221	0	1.72299	5	5.1257	0	0	5.1257	6.31486484621895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
