cytoband	3q28	18q21.33	12p12.1	11q13.3	12q13.13	1q21.3	17q21.2	2p23.1	2p21	20q13.31	2q11.1	4q23	
q value	1.218e-07	2.1078e-05	0.0021045	0.0071075	0.0071075	0.012438	0.027738	0.032239	0.10301	0.13082	0.20586	0.22636	
residual q value	1.218e-07	2.1078e-05	0.0021045	0.0071075	0.0071075	0.012438	0.027738	0.032239	0.10301	0.13082	0.20586	0.22636	
wide peak boundaries	chr3:189584470-189681888	chr18:61304952-61387388	chr12:25314046-25672789	chr11:69631087-70507698	chr12:52885523-52940291	chr1:152799948-153043094	chr17:39767756-39846442	chr2:31598423-31754526	chr2:42488260-42530452	chr20:55206860-55777680	chr2:95847857-95947887	chr4:100263953-100443867	
genes in wide peak	TP63	SERPINB3	KRAS	hsa-mir-548k	KRT5	IVL	KRT16	SRD5A2	EML4	BMP7	ZNF2	ADH1C	
	LEPREL1	SERPINB4	CASC1	CTTN	KRT6A	SMCP	KRT17	XDH		TFAP2C	PROM2	ADH7	
		SERPINB11	LYRM5	FGF3	KRT71	SPRR1A	EIF1					C4orf17	
			IFLTD1	PPFIA1		SPRR1B	KRT42P						
				FADD		SPRR2A							
				SHANK2		SPRR2B							
				ANO1		SPRR2D							
				MIR548K		SPRR3							
						SPRR4							
						LCE1A							
						LCE6A							
