sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	69549	3350307	301	3280758	0.01246	0.00118	1.17621	3	3	0	0	3	3.03059321367931	0	1.17621	1.02201	1.33041	1	2	1.00007	1.99994	0	0	0.06	0	0.52642	0.97	0.48627	1	0	0	0	0	0	1.00007	1.99994
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	3389717	3686398	48	296681	0.03411	0.00011	1.28683	4	3.98641	0	0	3.98641	3.68002701251546	0	1.28683	1.28683	1.28683	2	2	2	2	0	0	0.84	0.60413	0.9834	0.84	0.60413	0.9834	0	0	0	0	0	2	2
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	3697775	94461707	6110	90763932	0.00276	0.03274	1.17467	3	3	0	0	3	3.02155209950278	0	1.17467	0.99661	1.35272	1	2	1	2	0	0	0.01	0	0.10115	0.03	0	0.11881	0	0	0	0	0	1	2
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	94466437	144859878	1201	50393441	0.00528	0.01818	0.99569	2	2	0	0	2	1.97078676488253	0	0.99569	0.99569	0.99569	1	1	1	1	0	0	0.01	0	0.08291	0.01	0	0.08291	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	144863379	145273314	48	409935	0.02528	0.00015	0.9521	2	1.99991	0	0	1.99991	1.71487626685986	0	0.9521	0.46678	1.43742	0	2	1e-05	2.03665	0	0	1	0.62208	1	0.28	0.01362	0.84077	1	0	0	0	0	1e-05	2.03665
AC-P12-TP-NB-SM-63B58-SM-63B4I	1	145281536	249211681	6731	103930145	0.00224	0.03749	0.99945	2	2	0	0	2	1.99286117352132	0	0.99945	0.99945	0.99945	1	1	1	1	0	0	0	0	0.06362	0	0	0.06362	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	2	45912	89619828	3668	89573916	0.00304	0.03231	0.99977	2	2	0	0	2	1.99473984659697	0	0.99977	0.99977	0.99977	1	1	1	1	0	0	0	0	0.06364	0	0	0.06364	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	2	89975727	90154110	19	178383	0.03364	6e-05	0.7963	1	0.99998	0	0	0.99998	0.800197313156449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P12-TP-NB-SM-63B58-SM-63B4I	2	90193276	186689183	3728	96495907	0.00303	0.03481	1.00468	2	2	0	0	2	2.02356573660136	0	1.00468	1.00468	1.00468	1	1	1	1	0	0	0.01	0	0.07082	0.01	0	0.07082	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	2	187366075	193059164	318	5693089	0.00858	0.00205	0.83161	1	1	0	0	1	1.00749714534687	0	0.83161	0.57641	1.08681	0	1	0	1	1	0	NA	NA	NA	0.25	0.05348	0.45332	1	0	0	0	0	0	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	2	196548526	242814645	2663	46266119	0.00359	0.01669	1.00748	2	2	0	0	2	2.04000412601323	0	1.00748	1.00748	1.00748	1	1	1	1	0	0	0.02	0	0.07817	0.02	0	0.07817	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	369943	40574050	1610	40204107	0.00461	0.0145	1.00612	2	2	0	0	2	2.03201976544175	0	1.00612	0.63737	1.37486	0	2	0	2	0	0	1	0.93318	1	0.1	0.01227	0.18109	1	0	0	0	0	0	2
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	41266130	89528599	2642	48262469	0.00295	0.01741	0.82401	1	1	0	0	1	0.962878659800361	0	0.82401	0.65278	0.99524	0	1	0	1	0	0	1	0.91636	1	0.02	0	0.0993	1	0	0	0	0	0	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	93595922	193185189	4013	99589267	0.00343	0.03592	1.18097	3	3	0	0	3	3.05853847567949	0	1.18097	0.64425	1.71768	0	3	0	3	0	0	1	0.94197	1	0.1	0.02955	0.17071	1	0	0	0	0	0	3
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	193201759	195306270	105	2104511	0.02089	0.00076	1.16516	3	3	0	0	3	2.96572028403604	0	1.16516	0.73507	1.59526	0	3	0.00045	2.99805	0	0	0.78	0.39772	0.97989	0.75	0.36625	0.97446	1	0	0	0	0	0.00045	2.99805
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	195453055	195475853	3	22798	0.16475	1e-05	1.55494	5	5.01582	0	0	5.01582	5.25406150723575	0	1.55494	1.17934	1.93054	1	3	1.34719	2.53833	0	0	0.52	0.01677	0.97364	0.73	0.01857	0.97527	0	0	0	0	0	1.34719	2.53833
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	195479280	196737616	114	1258336	0.02066	0.00045	1.20057	3	3	0	0	3	3.17360720156259	0	1.20057	0.59052	1.81062	0	3	0	3.00075	0	0	1	0.78758	1	0.38	0.10013	0.65395	1	0	0	0	0	0	3.00075
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	196743149	197431492	49	688343	0.03147	0.00025	1.19906	3	3.00016	0	0	3.00016	3.16474221298691	0	1.19906	0.72672	1.6714	0	3	1e-05	3	0	0	0.8	0.4852	0.98138	0.97	0.62312	1	1	0	0	0	0	1e-05	3
AC-P12-TP-NB-SM-63B58-SM-63B4I	3	197444924	197765487	47	320563	0.03082	0.00012	1.14999	3	2.99998	0	0	2.99998	2.87665943854386	0	1.14999	0.5454	1.75459	0	3	0	3.00001	0	0	1	0.786	1	0.21	0.01035	0.5465	1	0	0	0	0	0	3.00001
AC-P12-TP-NB-SM-63B58-SM-63B4I	4	59385	190947882	5375	190888497	0.00252	0.06886	1.00427	2	2	0	0	2	2.02115868672319	0	1.00427	1.00427	1.00427	1	1	1	1	0	0	0.01	0	0.06873	0.01	0	0.06873	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	4	190996225	191012705	5	16480	0.1018	1e-05	1.23921	3	3.45886	0	0	3.45886	3.40045697544642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P12-TP-NB-SM-63B58-SM-63B4I	5	143556	96518862	2904	96375306	0.00343	0.03477	1.00393	2	2	0	0	2	2.01916259658032	0	1.00393	1.00393	1.00393	1	1	1	1	0	0	0.01	0	0.0688	0.01	0	0.0688	0	0	0	0	0	1	1
AC-P12-TP-NB-SM-63B58-SM-63B4I	5	98129122	131995467	840	33866345	0.00521	0.01222	0.82066	1	1	0	0	1	0.943211301039729	0	0.82066	0.66601	0.9753	0	1	0	1	0	0	0.98	0.83701	1	0.07	0	0.20062	1	0	0	0	0	0	1
