sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	69549	3740056	355	3670507	0.01604	0.00133007980478829	1.10062	5	4.98894	0	0	4.98894	4.5878777514069	0	1.10062	1.10062	1.10062	2	2	2	2	1	1	0.29	0.15841	0.41938	0.29	0.15841	0.41938	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	3742966	6172268	51	2429302	0.04017	0.00088005280316819	1.04431	4	4.04811	0	0	4.04811	4.15046724011077	0	1.04431	1.04431	1.04431	2	2	2.00971	2.00971	0	0	0.08	0.00223	0.74654	0.08	0.00223	0.74654	0	0	0	0	0	2.00971	2.00971
AC-P10-TP-NT-SM-63B53-SM-63B54	1	6185627	16785360	986	10599733	0.00943	0.00383022981378883	1.07856	4	4.001	0	0	4.001	4.41651785300178	0	1.07856	1.07614	1.08098	2	2	2	2	1	1	0.2	0.07146	0.31698	0.22	0.09006	0.33581	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	16892217	17272826	34	380609	0.04157	0.00014000840050403	0.8818	3	2.99355	0	0	2.99355	2.88810563132486	0	0.8818	0.8818	0.8818	1	1	1.4822	1.4822	0	0	0.56	0.02334	0.97103	0.56	0.02334	0.97103	0	0	0	0	0	1.4822	1.4822
AC-P10-TP-NT-SM-63B53-SM-63B54	1	17280784	32154085	1371	14873301	0.00794	0.00538032281936916	1.07091	4	4	0	0	4	4.35709340953853	0	1.07091	1.07091	1.07091	2	2	2	2	1	1	0.18	0.08158	0.26579	0.18	0.08158	0.26579	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	32154668	32155980	3	1312	0.25304	0	1.59747	7	6.39815	0	1	8.44735941607542	8.44735941607542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	32157065	33246697	166	1089632	0.02298	0.000390023401404084	1.07778	4	4.12507	0	0	4.12507	4.41045889013886	0	1.07778	1.07778	1.07778	2	2	2	2	1	1	0.21	0.02089	0.42026	0.21	0.02089	0.42026	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	33252608	33263403	3	10795	0.23523	0	1.48482	7	6.28888	0	1	7.57230535644997	7.57230535644997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	33276279	44684061	1165	11407782	0.00844	0.00412024721483289	1.04857	4	4	0	0	4	4.18355849882364	0	1.04857	1.04857	1.04857	2	2	2	2	0	0	0.09	0.00183	0.1999	0.09	0.00183	0.1999	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	44684820	45295641	78	610821	0.03003	0.000220013200792048	0.96515	4	3.76336	0	0	3.76336	3.53556018853553	0	0.96515	0.96515	0.96515	2	2	1.80168	1.80168	0	0	0.23	0.0116	0.94206	0.23	0.0116	0.94206	0	0	0	0	0	1.80168	1.80168
AC-P10-TP-NT-SM-63B53-SM-63B54	1	45297423	47407007	291	2109584	0.01623	0.000760045602736164	1.0077	4	4	0	0	4	3.86608438060888	0	1.0077	1.00755	1.00785	2	2	2	2	0	0	0.07	0	0.1958	0.07	0	0.19478	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	47495732	47498976	3	3244	0.23036	0	1.45399	7	6.24908	0	1	7.33282096534253	7.33282096534253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	47501765	61848972	626	14347207	0.01138	0.00519031141868512	1.03656	4	4	0	0	4	4.09026600653689	0	1.03656	1.03656	1.03656	2	2	2	2	0	0	0.05	0	0.13956	0.05	0	0.13956	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	61921012	62913096	55	992084	0.0429	0.000360021601296078	1.15865	5	5.01836	0	0	5.01836	5.03864905260589	0	1.15865	1.13512	1.18217	2	3	2.15008	2.90902	1	1	0.43	0.06287	0.83046	0.61	0.19236	0.94378	0	0	0	0	0	2.15008	2.90902
AC-P10-TP-NT-SM-63B53-SM-63B54	1	62916284	87045826	884	24129542	0.00979	0.00872052323139388	1.05926	4	4	0	0	4	4.26659736165006	0	1.05926	1.0592	1.05931	2	2	2	2	0	1	0.13	0.03861	0.21863	0.13	0.03905	0.21897	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	87101352	87104629	4	3277	0.23732	0	1.73034	7	6.60513	0	1	9.4794804360704	9.4794804360704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	87185253	120502069	1484	33316816	0.00766	0.0120407224433466	1.07472	4	4.00001	0	0	4.00001	4.38668911275356	0	1.07472	1.07472	1.07472	2	2	2	2	1	1	0.19	0.1031	0.27356	0.19	0.1031	0.27356	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	1	120506313	145414829	79	24908516	0.03647	0.00900054003240194	1.18042	5	5.04236	0	0	5.04236	5.20775625969018	0	1.18042	0.49952	1.86132	0	5	0	5.00075	0	0	1	0.57725	1	0.25	0.01334	0.64294	1	0	0	0	0	0	5.00075
AC-P10-TP-NT-SM-63B53-SM-63B54	1	145416624	148318795	203	2902171	0.02589	0.00105006300378023	1.34378	6	6.41101	0	0	6.41101	6.47672058441646	0	1.34378	0.95724	1.73031	2	5	1.88354	4.78877	0	0	0.26	0.01185	0.88912	0.74	0.10185	0.97832	0	0	0	0	0	1.88354	4.78877
AC-P10-TP-NT-SM-63B53-SM-63B54	1	148330205	150532603	208	2202398	0.0243	0.000800048002880173	1.27672	6	5.99999	0	0	5.99999	5.95580513622753	0	1.27672	1.13867	1.41478	2	3	2.3757	3.42571	0	0	0.44	0.02489	0.95165	0.51	0.03263	0.96059	0	0	0	0	0	2.3757	3.42571
AC-P10-TP-NT-SM-63B53-SM-63B54	1	150598978	152800114	320	2201136	0.02104	0.000800048002880173	1.37134	7	6.99745	0	0	6.99745	6.69080393890627	0	1.37134	1.03475	1.70794	2	5	2	4.99993	0	1	0.04	0	0.29539	0.65	0.40814	0.88342	0	0	0	0	0	2	4.99993
AC-P10-TP-NT-SM-63B53-SM-63B54	1	152883152	153012712	6	129560	0.24129	5.00030001800108e-05	2.15561	7	6.84809	0	1	12.7829357395495	12.7829357395495	0	2.15561	1.78279	2.52842	5	7	4.77202	6.97584	0	0	0.94	0.06456	0.98303	NA	NA	NA	0	0	0	0	1	4.77202	7.83944347549586
AC-P10-TP-NT-SM-63B53-SM-63B54	1	153043205	153591442	35	548237	0.07946	0.000200012000720043	1.71379	7	6.99945	0	1	9.35092167276103	9.35092167276103	0	1.71379	1.22614	2.20145	3	6	2.87556	6.35586	0	0	0.78	0.10418	0.98055	0.57	0.04658	0.96405	0	0	0	0	0	2.87556	6.35586
AC-P10-TP-NT-SM-63B53-SM-63B54	1	153603067	158946503	1117	5343436	0.01074	0.00193011580694842	1.30722	6	6	0	0	6	6.19272611996988	0	1.30722	1.01989	1.59455	2	4	2	4	0	1	0.02	0	0.20037	0.21	0.0462	0.3762	0	0	0	0	0	2	4
AC-P10-TP-NT-SM-63B53-SM-63B54	1	158985719	159043158	12	57439	0.14428	2.00012000720043e-05	1.82226	7	6.95394	0	1	10.1935059057621	10.1935059057621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	159162443	161024453	227	1862010	0.02364	0.000670040202412145	1.29744	6	6.00007	0	0	6.00007	6.1167560471502	0	1.29744	0.91168	1.68321	2	5	1.86104	4.73269	1	1	0.44	0.09265	0.79746	0.56	0.18945	0.89499	0	0	0	0	0	1.86104	4.73269
AC-P10-TP-NT-SM-63B53-SM-63B54	1	161039365	161059046	9	19681	0.1738	1.00006000360022e-05	1.90122	7	6.91763	0	1	10.8068593771161	10.8068593771161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	161069215	162775232	229	1706017	0.02327	0.000620037202232134	1.28283	6	6	0	0	6	6.00326701198706	0	1.28283	0.92073	1.64493	2	4	1.99256	4.0052	1	1	0.4	0.12767	0.67613	0.41	0.13072	0.67927	0	0	0	0	0	1.99256	4.0052
AC-P10-TP-NT-SM-63B53-SM-63B54	1	163042236	170508529	266	7466293	0.02401	0.00270016200972058	1.42723	7	7	0	1	7.12495193173776	7.12495193173776	0	1.42723	1.08602	1.76843	2	5	2	5	0	0	0.24	0.03281	0.46065	0.89	0.64674	1	0	0	0	0	0	2	5
AC-P10-TP-NT-SM-63B53-SM-63B54	1	170513915	171491356	52	977441	0.06619	0.000350021001260076	1.74002	7	6.99999	0	1	9.55467371877945	9.55467371877945	0	1.74002	1.16569	2.31434	3	7	2.64276	6.99894	0	0	0.55	0.09396	0.9376	NA	NA	NA	0	0	0	0	1	2.64276	7.00796734107678
AC-P10-TP-NT-SM-63B53-SM-63B54	1	171501790	186141200	855	14639410	0.01325	0.00529031741904514	1.41204	7	7	0	1	7.00695751393296	7.00695751393296	0	1.41204	1.08686	1.73721	2	5	2	5	1	1	0.24	0.06067	0.41617	0.77	0.58089	0.93519	0	0	0	0	0	2	5
AC-P10-TP-NT-SM-63B53-SM-63B54	1	186147722	186158826	4	11104	0.32715	0	2.38666	7	6.72072	0	1	14.5777092901617	14.5777092901617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	186269283	196716341	174	10447058	0.02875	0.00378022681360882	1.38176	7	6.99332	0	0	6.99332	6.77174546843399	0	1.38176	1.15931	1.60421	2	4	2.47814	4.08326	0	0	0.52	0.02385	0.96838	0.25	0.01258	0.9509	0	0	0	0	0	2.47814	4.08326
AC-P10-TP-NT-SM-63B53-SM-63B54	1	196748388	196797287	9	48899	0.01173	2.00012000720043e-05	0.12489	0	0	1	0	0	-2.9914963950498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P10-TP-NT-SM-63B53-SM-63B54	1	196801027	201197520	268	4396493	0.02384	0.00159009540572434	1.42234	7	7	0	1	7.08696689532792	7.08696689532792	0	1.42234	1.10624	1.73845	2	5	2.00176	4.9998	1	0	0.32	0.03607	0.65097	0.77	0.42155	0.97742	0	0	0	0	0	2.00176	4.9998
AC-P10-TP-NT-SM-63B53-SM-63B54	1	201286803	201330451	9	43648	0.1733	2.00012000720043e-05	1.89564	7	6.91682	0	1	10.7635144889429	10.7635144889429	0	1.89564	1.24477	2.5465	3	7	2.69524	6.56322	0	0	0.85	0.02426	0.97728	NA	NA	NA	0	0	0	0	1	2.69524	7.90966530149687
AC-P10-TP-NT-SM-63B53-SM-63B54	1	201334376	249211681	2645	47877305	0.00735	0.0173010380622837	1.37778	7	7	0	0	7	6.74082922203089	0	1.37778	1.04012	1.71544	2	5	2	5	0	1	0.06	0	0.16222	0.68	0.57149	0.78229	0	0	0	0	0	2	5
AC-P10-TP-NT-SM-63B53-SM-63B54	2	45912	905621	15	859709	0.07161	0.000310018601116067	1.00951	4	4.03395	0	0	4.03395	3.88014428161129	0	1.00951	1.00951	1.00951	2	2	2	2	0	0	0.06	0	0.39838	0.06	0	0.39838	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	2	1079272	3391917	48	2312645	0.03985	0.000840050403024181	1.00505	4	3.98401	0	0	3.98401	3.84549944267717	0	1.00505	0.79399	1.21611	1	3	1.10107	2.754	0	0	0.9	0.08585	0.98342	0.74	0.05603	0.97785	0	0	0	0	0	1.10107	2.754
AC-P10-TP-NT-SM-63B53-SM-63B54	2	3405605	18768349	423	15362744	0.01344	0.0055503330199812	1.0059	4	4	0	0	4	3.85210215861753	0	1.0059	1.0059	1.0059	2	2	2	2	0	0	0.07	0	0.17565	0.07	0	0.17565	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	2	18770719	19553233	3	782514	0.11506	0.00028001680100806	0.72439	2	2.35164	0	0	2.35164	1.66536031818111	0	0.72439	0.72439	0.72439	1	1	0.93658	0.93658	0	0	0.17	0.00758	0.8875	0.17	0.00758	0.8875	0	0	0	0	0	0.93658	0.93658
AC-P10-TP-NT-SM-63B53-SM-63B54	2	20101540	31602787	897	11501247	0.00893	0.0041602496149769	0.97397	4	3.99996	0	0	3.99996	3.60407307629315	0	0.97397	0.97374	0.97419	2	2	2	2	1	1	0.2	0.09376	0.29393	0.2	0.09217	0.29206	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	2	31609350	32431978	33	822628	0.05261	0.000300018001080065	1.10037	5	4.71955	0	0	4.71955	4.58593577613033	0	1.10037	1.10037	1.10037	2	2	2.21651	2.21651	0	0	0.29	0.01476	0.97012	0.29	0.01476	0.97012	0	0	0	0	0	2.21651	2.21651
AC-P10-TP-NT-SM-63B53-SM-63B54	2	32445531	61144081	972	28698550	0.00863	0.0103706222373342	0.97937	4	4	0	0	4	3.64601974226721	0	0.97937	0.97937	0.97937	2	2	2	2	1	1	0.18	0.07662	0.26737	0.18	0.07662	0.26737	0	0	0	0	0	2	2
AC-P10-TP-NT-SM-63B53-SM-63B54	2	61145634	61258900	17	113266	0.09913	4.00024001440086e-05	1.48946	7	6.87491	0	1	7.60834841758323	7.60834841758323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
