Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	15812468	1231	15742919	125	0.42844449209184	2.30240840840129	0.0104352673668493	0.98645420112547	0.0530017245810763	1.31595420727582	0.0530017245810763	1
1	15817798	19208287	339	3390489	43	0.498570282202679	2.24897833173113	0.0194251260888804	1.1212737615189	0.0247759167974334	1.12770457021223	0.0247759167974334	2
1	19209654	19403314	3	193660	0	NA	3.38343555434615	0.310361875926259	NA	NA	NA	NA	2
1	19411094	47489577	2973	28078483	196	0.479228799243767	2.22080839161926	0.0064775006022687	1.06427533886618	0.0517271440564548	1.15653305275308	0.0517271440564548	2
1	47497129	47505108	5	7979	0	NA	3.7001839295148	0.262869520628499	NA	NA	NA	NA	2
1	47514268	86852653	1535	39338385	125	0.479404727529213	2.2131869265063	0.00898383914902981	1.06101227547297	0.0526876686245945	1.15217465103333	0.0526876686245945	2
1	86891090	86900314	5	9224	0	NA	3.47137729661317	0.246642228792665	NA	NA	NA	NA	2
1	86905919	109363207	844	22457288	53	0.471346569946805	2.21926090735802	0.0121487564019581	1.04604101650023	0.0635899683576913	1.17321989085778	0.0635899683576913	2
1	109366248	109377614	4	11366	1	0.5	3.48986958465523	0.277220695722469	1.74493479232762	0.442001554648179	1.74493479232762	0.442001554648179	2
1	109385822	120054207	662	10668385	83	0.48162788791186	2.27306975275945	0.0140491264925201	1.09477378409787	0.0533508028696488	1.17829596866158	0.0533508028696488	2
1	120166033	145416624	102	25250591	15	0.296426266018483	2.00485115970947	0.0315797226023605	0.594290543195503	0.214870200072817	1.41056061651396	0.214870200072817	2
1	145439628	153318622	760	7878994	36	0.457896770441614	2.19382040818457	0.0126561970957685	1.00454327983662	0.0887093910714026	1.18927712834795	0.0887093910714026	2
1	153333216	153362940	5	29724	0	NA	5.07677782320567	0.360499517491187	NA	NA	NA	NA	2
1	153391702	153533990	6	142288	2	0.5	3.10176158218962	0.201222821301471	1.55088079109481	0.29244975277087	1.55088079109481	0.29244975277087	2
1	153580088	158946503	1131	5366415	70	0.449010320968404	2.15116609162913	0.0101736378695326	0.965895777258743	0.0646141146866537	1.18527031437039	0.0646141146866537	1
1	158985719	186141200	1670	27155481	143	0.499550120525404	2.22115666029644	0.00864399663764144	1.10957907735689	0.0107574494781108	1.11157758293955	0.0107574494781108	2
1	186147722	186157077	3	9355	0	NA	4.13461904561612	0.37913960725487	NA	NA	NA	NA	2
1	186266045	201197520	463	14931475	39	0.470048263520874	2.18109889617234	0.0161213377154971	1.0252217487131	0.0702386123922917	1.15587714745924	0.0702386123922917	2
1	201286803	201297926	8	11123	3	0.5	3.8808752887301	0.217947661817371	1.94043764436505	0.299310365239757	1.94043764436505	0.299310365239757	2
1	201332478	205892266	525	4559788	42	0.495814481483056	2.23520002692332	0.0155139594449936	1.1082445423599	0.0303581047222241	1.12695548456342	0.0303581047222241	2
1	205892706	205904885	13	12179	0	NA	3.2361990437124	0.142617030975413	NA	NA	NA	NA	2
1	206141484	208383715	265	2242231	18	0.489400210653356	2.21540668802734	0.0216434929235735	1.08422049980344	0.0513051150331476	1.13118618822391	0.0513051150331476	2
1	209603795	228284889	848	18681094	77	0.391861158400402	2.08019405471289	0.0113627346135927	0.815147251977424	0.0267472797534465	1.26504680273547	0.0267472797534465	1
1	228285353	241731873	703	13446520	103	0.359901829987958	2.00885908963906	0.0120530055300052	0.72299206254904	0.0209201084034881	1.28586702709002	0.0209201084034881	1
1	241750009	241767721	8	17712	1	0.363805167359358	3.24232054334715	0.182144978101461	1.17957296790509	0.421367515441529	2.06274757544205	0.421367515441529	2
1	241850845	245862263	129	4011418	4	0.362526868959772	2.16911425411644	0.0303746095306642	0.786362198960843	0.144779813216626	1.38275205515559	0.144779813216626	1
1	245912915	249211681	146	3298766	48	0.469338761982385	2.17021053482949	0.0285659014864624	1.018563925658	0.0810170884128672	1.15164660917149	0.0810170884128672	2
2	45912	11767158	347	11721246	33	0.500000000000001	1.99840339507073	0.0170666811751549	0.999201697535368	0.0140145533038979	0.999201697535366	0.0140145533038979	2
2	11772136	11774365	3	2229	1	0.5	3.37919221128056	0.309973358989063	1.68959610564028	0.316885363970307	1.68959610564028	0.316885363970307	2
2	11777941	89037543	3264	77259602	232	0.499926950426073	1.99025460634821	0.00554204196256506	0.994981915923107	0.0047897815220873	0.995272690425108	0.0047897815220873	2
2	89157034	89197152	10	40118	1	0.5	2.69909654887917	0.135673270895966	1.34954827443959	0.226271839416187	1.34954827443959	0.226271839416187	2
2	89247266	242814645	6759	153567379	552	0.499999998439217	1.99537001769421	0.00386113467317592	0.997685005732764	0.00370299675870993	0.997685011961443	0.00370299675870993	2
3	369943	50293687	2898	49923744	226	0.499999999999985	2.02529108436363	0.00598481566029691	1.01264554218178	0.00492477493001921	1.01264554218185	0.00492477493001921	2
3	50294445	51352484	119	1058039	6	0.5	1.7890368423487	0.0260997468521673	0.89451842117435	0.102491101523349	0.89451842117435	0.102491101523349	2
3	51370636	197765487	5565	146394851	526	0.500000000000023	2.01158436265699	0.00428970442939928	1.00579218132854	0.00291714862682354	1.00579218132845	0.00291714862682354	2
4	59385	87746651	2741	87687266	284	0.436193565921854	1.78677353332922	0.00543134533250033	0.779379118997663	0.0142297026196223	1.00739441433155	0.0142297026196223	2
4	87754517	87812640	5	58123	0	NA	2.98657272378421	0.212259198952685	NA	NA	NA	NA	2
4	87968296	95539248	238	7570952	13	0.500000000000001	1.97608549731543	0.0203780833541293	0.988042748657715	0.0185519051074974	0.988042748657712	0.0185519051074974	2
4	95575700	96052514	11	476814	1	0.5	2.84267869959879	0.13622479930205	1.4213393497994	0.210771249892882	1.4213393497994	0.210771249892882	2
4	96075761	140640976	1126	44565215	97	0.499882703850974	1.98077074266539	0.00939091331483197	0.990153034552477	0.00981558789942003	0.990617708112913	0.00981558789942003	2
4	140810361	140811315	4	954	3	0.5	3.07043901834002	0.24396297210198	1.53521950917001	0.151437870641921	1.53521950917001	0.151437870641921	2
4	141300310	191012705	1245	49712395	122	0.49999999233965	2.0183721671747	0.00909983906478388	1.00918606812591	0.00900171869270487	1.00918609904879	0.00900171869270487	2
5	143556	1880893	177	1737337	35	0.499999963417905	2.10254787652825	0.0251375093317766	1.05127386134852	0.0275376327201924	1.05127401517973	0.0275376327201924	2
5	2749698	2755148	5	5450	0	NA	3.42764812063746	0.243540893436695	NA	NA	NA	NA	2
5	3600758	139936794	4140	136336036	350	0.500000000000014	2.00470355068401	0.00495651414483068	1.00235177534203	0.00365782544618313	1.00235177534198	0.00365782544618313	2
5	139939993	139943418	11	3425	3	0.5	1.44169155291053	0.069236300253282	0.720845776455264	0.0651460780743351	0.720845776455264	0.0651460780743351	2
5	140012002	150867679	736	10855677	108	0.499999999999998	2.01607066225827	0.0118218522006953	1.00803533112913	0.00927957273692675	1.00803533112914	0.00927957273692675	2
5	150886943	150946862	21	59919	5	0.5	2.66156266581487	0.0923245498602303	1.33078133290743	0.154153530894238	1.33078133290743	0.154153530894238	2
5	151043721	175915989	707	24872268	47	0.5	2.02163546896587	0.0120950619449973	1.01081773448293	0.0149779681730575	1.01081773448293	0.0149779681730575	2
