Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	1	12227	175067733	24432	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	1	175086343	175113688	16	0.660734
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	1	175130149	244869093	8832	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	1	245005362	245023825	27	0.309169
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	1	245025838	247769819	188	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	2	669677	202001150	20262	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	2	202005164	202025667	12	0.556544
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	2	202050849	242447873	6437	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	2861267	148930487	17363	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	148939832	149193699	19	0.375162
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	149205542	172166205	1602	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	172224711	172365906	15	0.354965
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	172428872	183960745	671	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	183961418	183967680	13	0.318368
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	183975546	186457205	650	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	186460122	186515405	12	0.435156
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	3	186518986	197896723	850	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	4	1066661	187630981	13681	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	5	914578	61923147	3724	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	5	62072675	63802618	21	-0.369163
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	5	63803706	180795228	11692	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	6	1101507	133118262	13090	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	6	133135923	133138490	14	0.370710
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	6	133595953	170892837	3735	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	7	716864	27141086	2415	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	7	27142121	27279210	44	0.303970
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	7	27283078	102036635	7601	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	7	102036986	102065656	13	0.319168
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	7	102079630	158282479	5936	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	8	29093	145235426	11498	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	9	14940	35264	25	0.327699
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	9	35519	84531192	4412	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	9	84543614	84562922	14	-0.369563
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	9	84603919	141124256	9735	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	415432	112557406	11152	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	112559676	112641295	13	0.338566
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	112642857	121335305	1165	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	121336264	121411369	18	0.390161
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	121429691	129907689	1068	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	129908799	131557607	24	0.320768
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	10	131565263	135215751	436	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	11	131373	64001658	9159	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	11	64003483	64014147	26	0.318067
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	11	64021966	134134856	10000	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	12	78939	75897856	11673	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	12	75900181	76447132	19	0.363164
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	12	76449943	133810942	8184	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	13	19748301	114897966	6033	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	14	20502001	70175823	6298	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	14	70234397	70243107	18	0.310369
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	14	70246079	105996133	5419	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	23686829	41828849	1968	0.000000
AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	15	41829325	41866015	33	0.405759
