sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	69549	120539332	7642	120469783	0.00251	0.0433091338173237	1.01827	2	2	0	0	2	2.1209719681707	0	1.01827	1.01827	1.01827	1	1	1	1	0	0	0.06	0	0.16487	0.06	0	0.16487	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	120548081	145290457	67	24742376	0.02498	0.00889982200355993	0.94735	1	1.26551	0	0	1.26551	1.36231290738154	0	0.94735	0.44898	1.44572	0	3	0	3.00304	1	0	NA	NA	NA	0.35	0.04829	0.68547	1	0	0	0	0	0	3.00304
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	145415558	148251996	201	2836438	0.01552	0.00101997960040799	1.02002	2	2.00014	0	0	2.00014	2.13969240466789	0	1.02002	1.02002	1.02002	1	1	1	1	0	0	0.07	0	0.45327	0.07	0	0.45327	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	148316418	148318795	4	2377	0.14368	0	1.33336	5	5.01696	0	0	5.01696	5.49161330297125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	148330205	148755774	41	425569	0.03372	0.000149997000059999	1.00066	2	2.00099	0	0	2.00099	1.9325908900475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	149754314	149762932	6	8618	0.069	0	0.78231	1	0.98732	0	0	0.98732	-0.403184715188146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	149785030	161558221	2041	11773191	0.00485	0.00422991540169197	1.01597	2	2	0	0	2	2.09636796591724	0	1.01597	1.01597	1.01597	1	1	1	1	0	0	0.05	0	0.16082	0.05	0	0.16082	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	161561060	161633087	8	72027	0.05564	2.99994000119998e-05	0.72814	1	0.53296	0	0	0.53296	-0.982662455218441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	1	161641310	249211681	4414	87570371	0.00331	0.0314893702125957	1.01867	2	2	0	0	2	2.12525092508434	0	1.01867	1.01867	1.01867	1	1	1	1	0	0	0.06	0	0.16823	0.06	0	0.16823	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	2	45912	242814645	10404	242768733	0.00212	0.0872882542349153	1.00033	2	2	0	0	2	1.92906075059375	0	1.00033	1.00033	1.00033	1	1	1	1	0	0	0.04	0	0.1423	0.04	0	0.1423	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	369943	46619476	1961	46249533	0.00444	0.0166296674066519	0.91074	1	1	0	0	1	0.970681375860237	0	0.91074	0.81475	1.00673	0	1	0	1	0	0	1	0.80804	1	0	0	0.20165	1	0	0	0	0	0	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	46620788	48618732	372	1997944	0.00985	0.000719985600287994	0.87976	1	0.99997	0	0	0.99997	0.639276162898477	0	0.87976	0.7344	1.02512	0	1	0.00803	1.05786	0	0	1	0.29462	1	0.1	0.00613	0.89586	1	0	0	0	0	0.00803	1.05786
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	48619035	51969243	728	3350208	0.00703	0.00119997600047999	0.87815	1	0.99999	0	0	0.99999	0.622053361321058	0	0.87815	0.87307	0.88322	0	0	0	3e-05	0	0	0.72	0.46971	0.93544	0.66	0.41555	0.89277	1	1	0	0	0	0	3e-05
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	51969657	51970508	3	851	0.07284	0	0.58278	0	0.3264	1	0	0.3264	-2.53763539763682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	51971581	52542331	203	570750	0.0133	0.000209995800083998	0.87789	1	0.99965	0	0	0.99965	0.619272039327189	0	0.87789	0.87775	0.87804	0	0	4e-05	4e-05	0	0	0.69	0.41798	0.93266	0.69	0.41643	0.93163	1	1	0	0	0	4e-05	4e-05
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	52544204	52562508	47	18304	0.02569	9.99980000399992e-06	0.81543	0	0.10602	1	0	0.10602	-0.0488870827383871	0	0.81543	0.62362	1.00724	0	1	0.00738	0.99959	0	0	1	0.30412	1	0	0.00632	0.92568	1	0	0	0	0	0.00738	0.99959
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	3	52562913	197765487	5251	145202574	0.00321	0.0522089558208836	1.07865	3	3	0	0	3	2.76688051428533	0	1.07865	1.00779	1.1495	1	2	1	2	0	0	0	0	0.31907	0.76	0.47248	0.97001	0	0	0	0	0	1	2
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	4	59385	191012705	5383	190953320	0.00298	0.0686586268274635	1.01396	2	2	0	0	2	2.07486620742618	0	1.01396	1.01396	1.01396	1	1	1	1	0	0	0.04	0	0.14509	0.04	0	0.14509	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	5	143556	78373368	2340	78229812	0.00452	0.0281294374112518	1.01292	2	2	0	0	2	2.06374091945071	0	1.01292	1.01292	1.01292	1	1	1	1	0	0	0.03	0	0.14452	0.03	0	0.14452	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	5	78376605	78384356	5	7751	0.14068	0	1.46001	6	5.77261	0	0	5.77261	6.84643803575392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	5	78415140	180794756	3969	102379616	0.00347	0.0368092638147237	1.01368	2	2	0	0	2	2.07187093758663	0	1.01368	1.01368	1.01368	1	1	1	1	0	0	0.04	0	0.14511	0.04	0	0.14511	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	345890	35748936	2258	35403046	0.00459	0.0127297454050919	1.01026	2	2	0	0	2	2.03528585597497	0	1.01026	1.01026	1.01026	1	1	1	1	0	0	0.02	0	0.13667	0.02	0	0.13667	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	35762988	35765023	3	2035	0.21014	0	1.69007	7	5.93975	0	1	9.3074801046365	9.3074801046365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	35782440	76124550	1801	40342110	0.00512	0.0144997100057999	1.00657	2	2	0	0	2	1.9958124784466	0	1.00657	1.00657	1.00657	1	1	1	1	0	0	0	0	0.12505	0	0	0.12505	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	76333645	76425205	15	91560	0.08792	2.99994000119998e-05	1.58078	7	6.78382	0	1	8.13836210190601	8.13836210190601	0	1.58078	1.07584	2.08571	1	4	1.37277	4.30132	0	0	0.37	0.0154	0.97322	0.77	0.01755	0.97529	0	0	0	0	0	1.37277	4.30132
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	76532533	160863846	2888	84331313	0.00408	0.0303193936121278	1.01523	2	2	0	0	2	2.088451895627	0	1.01523	1.01523	1.01523	1	1	1	1	0	0	0.04	0	0.15452	0.04	0	0.15452	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	160868800	161137735	48	268935	0.02895	9.99980000399992e-05	0.92928	1	1.08029	0	0	1.08029	1.16901102880766	0	0.92928	0.92928	0.92928	1	1	0.64112	0.64112	0	0	0.42	0.02056	0.9557	0.42	0.02056	0.9557	0	0	0	0	0	0.64112	0.64112
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	6	161139797	170892713	252	9752916	0.014	0.00350992980140397	1.03016	2	2.00084	0	0	2.00084	2.24816396242878	0	1.03016	1.03016	1.03016	1	1	1	1	0	0	0.12	0.00329	0.29457	0.12	0.00329	0.29457	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	7	540563	158935187	6239	158394624	0.00274	0.0569488610227796	1.00137	2	2	0	0	2	1.94018603856922	0	1.00137	1.00137	1.00137	1	1	1	1	0	0	0.03	0	0.13887	0.03	0	0.13887	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	8	190901	11968356	282	11777455	0.01282	0.00422991540169197	0.9974	2	2	0	0	2	1.8977173912013	0	0.9974	0.9974	0.9974	1	1	1	1	0	0	0.05	0	0.25282	0.05	0	0.25282	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	8	11970374	12175796	10	205422	0.04209	6.99986000279994e-05	0.61502	0	0.00023	1	0	0.00023	-2.19275147039708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	8	12583311	48114497	1356	35531186	0.00591	0.0127797444051119	1.00788	2	2	0	0	2	2.00982606233879	0	1.00788	1.00788	1.00788	1	1	1	1	0	0	0	0	0.13052	0	0	0.13052	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	8	48196649	48206537	3	9888	0.17965	0	1.44414	6	5.37484	0	0	5.37484	6.67667042020507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	8	48320472	146279473	2903	97959001	0.004	0.0352192956140877	0.99812	2	2	0	0	2	1.90541951364586	0	0.99812	0.99812	0.99812	1	1	1	1	0	0	0.05	0	0.16025	0.05	0	0.16025	0	0	0	0	0	1	1
AC-P08-TP-NT-SM-63B4X-SM-63B4Y	9	286572	141016185	5648	140729613	0.00288	0.0505989880202396	1.00301	2	2	0	0	2	1.95772976191516	0	1.00301	1.00301	1.00301	1	1	1	1	0	0	0.02	0	0.13255	0.02	0	0.13255	0	0	0	0	0	1	1
