Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH
1	69549	1117783	60	1048234	0	NA	2.7616161392636	0.0619323484791728	NA	NA	NA	NA	2
1	1120435	1139514	3	19079	0	NA	4.60433844052823	0.461396195554498	NA	NA	NA	NA	2
1	1153925	1848262	121	694337	19	0.499445058274345	2.52828099730967	0.0399342984276108	1.26273745003525	0.0307949635192541	1.26554354727442	0.0307949635192541	2
1	1849780	2337990	48	488210	2	0.334230710640351	2.09104213569433	0.0524641026573198	0.698890498992034	0.210537334025037	1.3921516367023	0.210537334025037	2
1	2409987	2447078	17	37091	1	0	2.67237745312952	0.112598713802218	0	0.416616651352966	2.67237745312952	0.416616651352966	1
1	2451806	16918428	1151	14466622	123	0.499999856981686	2.51557534761257	0.0128830314037446	1.25778731403294	0.0171147895382151	1.25778803357963	0.0171147895382151	2
1	17250896	17331959	38	81063	1	0.5	3.6624666832211	0.103154698676759	1.83123334161055	0.440763680104754	1.83123334161055	0.440763680104754	2
1	17349163	54870279	3495	37521116	334	0.499999853299818	2.48298196615211	0.0072976228623471	1.24149061882215	0.0117854687930985	1.24149134732996	0.0117854687930985	2
1	55058248	55089009	15	30761	6	0.5	3.89498350053276	0.174592808139317	1.94749175026638	0.128447318446674	1.94749175026638	0.128447318446674	2
1	55130876	67592885	522	12462009	69	0.499999944105812	2.52953201153624	0.0192361361872591	1.26476586438198	0.0256275997733336	1.26476614715426	0.0256275997733336	2
1	67635172	67880935	24	245763	3	0.5	3.8335626803534	0.135854364489019	1.9167813401767	0.103873375329106	1.9167813401767	0.103873375329106	2
1	67889943	86375659	528	18485716	41	0.499999995035823	2.58973548165902	0.0195807078668774	1.2948677279736	0.0197252466976792	1.29486775368542	0.0197252466976792	2
1	86430718	86852653	20	421935	5	0.5	2.93440864061939	0.113967794840458	1.4672043203097	0.146599088597697	1.4672043203097	0.146599088597697	2
1	86891090	86896598	3	5508	1	0.5	5.03852406148685	0.504851062974427	2.51926203074343	0.710856506147553	2.51926203074343	0.710856506147553	2
1	86900314	87100055	34	199741	6	0.5	2.9373088868818	0.0874955306863158	1.4686544434409	0.0688379474383613	1.4686544434409	0.0688379474383613	2
1	87101712	87104629	3	2917	0	NA	4.87625067810696	0.488610155813597	NA	NA	NA	NA	2
